ഁ	ɐ̃
കണ്ടെത്തിയതാണ്	kaɳɳeːt̪ːijɐːt̪aːm
കണ്ടെത്തിയതിന്	kɑːɳɳeːt̪ːijɪ̆
കണ്ടെത്തിയത്	kɐɳɖet̪ːijɐt̪
കണ്ടെത്തിയപ്പോള്	kɑːɳɖeːt̪ːijɑːpːoːlɯ
കണ്ടെത്തിയാല്	kɐɳɖeːt̪ːijɑːl
കണ്ടെത്തിയാൽ	kɐɳɖeːt̪t̪ijɑːl̪
കണ്ടെത്തിയിട്ടില്ല	kɑːɳɖeːt̪ːijɨt̪ːɪɭːɨlː
കണ്ടെത്തിയിട്ടുണ്ട്	kɐɳɖet̪ːijɨt̪ːuɭ̆t̪ːu
കണ്ടെത്തിയിരിക്കുന്നത്	kɑːɳɖeːt̪ːiːɾoŋgɯ̆t̪ː
കണ്ടെത്തിയിരിക്കുന്നു	kɑːɳɖeːt̪ːiɪɾɪjɑːɳɳoː
കണ്ടെത്തിയിരുന്നു	kɑːɳɳeːt̪ːiːuɳɳuː
കണ്ടെത്തിയില്ല	kaɳɳeːt̪ːiɯɯɭː
കണ്ടെത്തിയെന്ന്	kaɳɳeːt̪ːijenn̪u
കണ്ടെത്തിയേ	kɐɳɖet̪ːijɛː
കണ്ടെത്തിയോ	kɑːɳɳeːt̪ːijoː
കണ്ടെത്തില്ല	kɑːɳɳeːt̪ːɪɭː
കണ്ടെത്തു	kɑːɳɖeːt̪t̪u
കണ്ടെത്തും	kaɳɳeːt̪ːuɱ
കണ്ടെത്തുക	kaɳɳeːt̪t̪uğ
കണ്ടെത്തുകയാണെങ്കില്	kɑːɳɳeːt̪t̪ugɑːɳeːŋkil
കണ്ടെത്തുകയാണ്	kɑːɳɖeːt̪t̪ugɑːm
കണ്ടെത്തുകയും	kɑːɳɳeːt̪t̪əɳ
കണ്ടെത്തുകയെന്നത്	kɑːɳɳɛt̪ːuk̟ɑjennɑt̪ː
കണ്ടെത്തുന്ന	kɑːɳɳɛt̪ːuŋ
കണ്ടെത്തുന്നതിനായി	kɐɳɖet̪ːuŋkiɳi
കണ്ടെത്തുന്നതിന്	kɐɳɖet̪ːuŋkiɳ
കണ്ടെത്തുന്നതില്	kɑːɳɳɛt̪ːun̪d̪iɭ
കണ്ടെത്തുന്നതുവരെ	kɑːɳɳeːt̪ːun̪n̪t̪uʋɾe
കണ്ടെത്തുന്നത്	kɑːɳɳeːt̪ːɯ̆ɳː
കണ്ടെത്തുന്നു	kɑːɳɳeːt̪t̪uːɳɳu
കണ്ടെത്തുമെന്ന്	kaɳɳeːt̪ːumeːn̪ː
കണ്ടെത്തുമ്പോള്	kɑːɳɳeːt̪ːumbɯːl
കണ്ടെത്തൂ	kɐɳɖeːt̪ːuː
കണ്ടെത്തേണ്ട	kaɳɖet̪ːeːɳɳ
കണ്ടെത്തേണ്ടതുണ്ട്	kaɳɖeʈːeɳɖɐtuŋɖu
കണ്ടെത്തേണ്ടത്	kaɳɳeːt̪ːeːɳɳaːd̪
കണ്ടെത്തേണ്ടി	kaɳɳeʈːeɳɳi
കണ്ടെത്തേണ്ടിയിരിക്കുന്നു	kɑːɳɖeːt̪ːeːɳɳiɾiʝːɑːd̪ːo
കണ്ടെത്ത്	kɐɳɖeːt̪ʰ
കണ്ടെന്നു	kɐɳɖeːn̪n̪u
കണ്ടെന്നോ	kɐɳɳeːn̪o
കണ്ടെന്ന്	kɐɳɖeːn̪n̪u
കണ്ടേ	kɐ̃ɳɳe
കണ്ടേക്കും	kɐɳɳeːkum
കണ്ടേനെ	kɐɳɳeːnɛ
കണ്ടോ	kɑːɳɳoː
കണ്ടോട്ടെ	kɑːɳɳoːt̪ːe
കണ്ടോളാം	kɑːɳɖoːlɑːm
കണ്ടോളു	kaɳɳoːlu
കണ്ടോളൂ	kaɳɳoːluː
കണ്ടോള്ളാം	kɑːɳɖoːɭːɑːm
കണ്ട്	kəɳʈ
കണ്ട്രോള്	kɑːɳɖroːl
കണ്ട്രോളർ	kɑːɳɖroːɭəɾ
കണ്ണട	kanɳɖɐ
കണ്ണടകള്	kɑɳɳɐɖɐɭ
കണ്ണടക്ക്	kaɳɳɐɳɖɨ
കണ്ണടച്ചു	kɑɳɳɐɖɐt̪t̪ʃu
കണ്ണടച്ച്	kanɳɖɐt̪t̪ʃʰ
കണ്ണടയും	kɑɳɳɐɳɐd̪um
കണ്ണടയൊക്കെ	kaɳɳɐɖoʔkɛ
കണ്ണടയ്ക്ക്	kaɳːɖɐjkɨ
കണ്ണാട	kɑɳɳɑːɖ
കണ്ണാടി	kɑɳɳɑːɖi
കണ്ണാടിയില്	kɑɳɳɑːd̪iːlɨ
കണ്ണാടിയിൽ	kɑɳɳɑːɖiːl
കണ്ണാടിയോ	kɑɳɳɑːd̪joː
കണ്ണി	kɑɳːi
കണ്ണിനു	kɑɳːɪnʊ
കണ്ണിന്	kɑɳːɪn̪u
കണ്ണിന്റെ	kɑɳːiɳt̪ːe
കണ്ണിലും	kɑɳɳiːlʌm
കണ്ണിലൂടെ	kɑɳːɪɭuːd̪e
കണ്ണിലെ	kɑɳɳiːɭe
കണ്ണിലേക്കു	kan̪ːiːleːku
കണ്ണിലേക്ക്	kan̪ːiːleːkːu
കണ്ണില്	kɑɳɳil
കണ്ണിൽ	kɑɳɳil
കണ്ണീരിൽ	kɑɳːiːɾɪl
കണ്ണീരു	kɑɳːiːɾu
കണ്ണീരും	kɑɳːiːrʌm
കണ്ണീര്	kɑɳːiːr
കണ്ണീർ	kəɳːiːr
കണ്ണു	kɑɳːu
കണ്ണും	kɑɳːʊm
കണ്ണുകളാണുള്ളത്	kan̪ːugɐɳɐːn̪uɭːɐːt̪
കണ്ണുകളാണ്	kaɳːugɐɳːɐm
കണ്ണുകളിലൂടെ	kan̪ːugɐliːɽoːd̪e
കണ്ണുകളിലെ	kan̪ːugələjə
കണ്ണുകളിലേക്കു	kan̪ːugɐlɪeːku
കണ്ണുകളിലേക്ക്	kan̪ːugɐliːkːu
കണ്ണുകളില്	kɑɳːugɑlil
കണ്ണുകളിൽ	kɑɳːʊkɑɭil
കണ്ണുകളും	kan̪ːugəlum
കണ്ണുകളുടെ	kɑɳːugɑɳu
കണ്ണുകളുള്ള	kɑɳːukɑɭuɭː
കണ്ണുകളെ	kɑɳːukɑɭɛ
കണ്ണുകളോടെ	kɑɳːugɑɳoːt̪e
കണ്ണുകള്	kan̪ːugɐl
കണ്ണുകൊണ്ട്	kɑɳːkɔɳʈ
കണ്ണുകൾ	kɑɳːuɭe
കണ്ണുകൾക്ക്	kɑɳːuɭəkkɨ
കണ്ണുതുറന്നു	kɑɳːʈuɾɐn̪d̪u
കണ്ണുനീര്	kɑɳːun̪iːr
കണ്ണുപൊട്ടനാണോ	kan̪ːu̯poːʈːɐnaːno
കണ്ണുപൊട്ടന്	kɑɳːʋɔt̪ːɐnɨ
കണ്ണുള്ള	kɑɳːuɭː
കണ്ണുവേണം	kan̪ːuʋeːɳɐm
കണ്ണൊക്കെ	kan̪ːoːkɛ
കണ്ണ്	kɑɳː
കണ്മുന്	kəɳmuɳ
കണ്മുന്നില്	kaɳmʊn̪d̪iɭ
കണ്സ്റ്റ്രക്ഷന്	kaɳs̪t̪ɾɐkʂɐn̪u
കതകിനു	kɐtɐkiːnu
കതകിൽ	kɐtɐkiɭ
കതകു	kɐtɐku
കതക്	kətək
കത്തട്ടെ	kɐt̪ːɐɳɳe
കത്താണോ	kaʈʈaːɳo
കത്താണ്	kat̪ːɑːm
കത്തി	kɐt̪ːi
കത്തികള്	kɐt̪ːiɭɐ
കത്തികൊണ്ട്	kɐt̪ːikoŋɳʈ
കത്തിക്കട്ടെ	kaʈːiʈːe
കത്തിക്കണം	kɐt̪ːikːɐn̪ɐm
കത്തിക്കാം	kat̪ːiʋɐ̃ːm
കത്തിക്കാന്	kɐt̪ːɪkɑːn̪
കത്തിക്കാൻ	kɐt̪ːɪkɑːɳ
കത്തിക്കും	kɐt̪ːiʋ̥
കത്തിക്കുക	kɐt̪ːikːugɐ
കത്തിക്കുന്നത്	kɐt̪ːiɳɳɐt̪ː
കത്തിക്കുന്നു	kɐt̪t̪iɳɳoː
കത്തിക്കൂ	kat̪ːikːuː
കത്തിക്ക്	kɐt̪ːikːu
കത്തിച്ച	kɐt̪ːit̪ːɐ
കത്തിച്ചത്	kɐt̪ːit̪ːɐt̪
കത്തിച്ചു	kɐt̪ːiɖu
കത്തിച്ച്	kɐt̪ːiʈː
കത്തിന്റെ	kaːt̪t̪i
കത്തിപ്പോയി	kɐt̪ːipːoːi
കത്തിയ	kɐt̪ːijɐ
കത്തിയമര്	kat̪ːijɐmɐrʊ
കത്തിയാണ്	kat̪ːijɑːm
കത്തിയും	kɐt̪ːijʌm
കത്തിയുടെ	kaʈːuɪ
കത്തിയുണ്ട്	kɐt̪ːijɨɳʈu
കത്തിയുമായി	kɐt̪ːijumɑːj
കത്തിയെടുത്തു	kɐt̪ːijɛɖɔt̪ːu
കത്തിയെടുത്ത്	kat̪ːijɛɖɔt̪ːʰ
കത്തിയോ	kat̪ːijoː
കത്തിലെ	kalijeː
കത്തില്	kɐt̪ːil
കത്തിൽ	kɐʈːil
കത്തു	kəʈːu
കത്തും	kɐt̪ːum
കത്തുകയാണ്	kaʈːugaːɳ
കത്തുകളുണ്ട്	kɐt̪ːuɭuɭuɳt̪u
കത്തുകള്	kaʈːuɭə
കത്തുകൾ	kɐt̪ːugɛ
കത്തുണ്ട്	kɐt̪ːuɳt̪ə
കത്തുന്ന	kɐt̪ːun̪
കത്തുന്നത്	kɐt̪ːɐɳɳɛt̪ː
കത്തുന്നു	kɐt̪ːɨɳɨ
കത്തുന്നുണ്ട്	kɐt̪ːun̪n̪uɭt̪u
കത്തെഴുതാം	kɐt̪eːɻut̪ɑːm
കത്തെഴുതാൻ	kat̪eːɻut̪aːɳ
കത്തെഴുതി	kɐteːɻʈi
കത്തെഴുതും	kɐteːɻut̪um
കത്തോ	kɐt̪ːoː
കത്തോലിക്ക	kaʈoːlik
കത്തോലിക്കാ	kɐt̪ːoːlikkɐ
കത്ത്	kɐt̪ː
കത്രാഡാ	kat̪ɾaːɖɑː
കത്രിക	kat̪ɾiːkɐ
കഥ	kɐt̪ɨ
കഥകളില്	kɐt̪ɐkɐɭɐliɭ
കഥകളിൽ	kɐt̪ɐkɐɭɐɭil
കഥകളും	kɐt̪ɐkɐɭɐɭum
കഥകളുണ്ട്	kɐt̪ɐkɐɭɐuɭʌt̪
കഥകളുമാണ്	kɐt̪ɐkɐɭɐmuːn̪ɐ
കഥകളെ	kɐt̪ɐkɐlɐe
കഥകളൊക്കെ	kɐt̪ɐkɐɭɐoke
കഥകളൊന്നും	kaʈɐɭoːn̪n̪u
കഥകള്	kaɖɐɭɐ
കഥകൾ	kɐt̪ʰɐɭɐɭ
കഥയല്ല	kɐt̪ɐjɐɭː
കഥയാ	kɐt̪ʰjɑː
കഥയാണ്	kɐt̪ʰəjɑːm
കഥയിലെ	kɐt̪ʰəjɛː
കഥയിലേക്ക്	kɐt̪ʰəjilɛːk
കഥയില്	kɐt̪ʰajil
കഥയിൽ	kɐt̪ɐjɨl
കഥയും	kɐt̪əʊm
കഥയുടെ	kɐt̪ʰɐjuːd̪i
കഥയുണ്ട്	kaʈəjuɭd̪u
കഥയെ	kɐt̪ʰeː
കഥയൊക്കെ	kɐt̪ʰəjoːkɛ
കഥയോ	kɐt̪ʰjoː
കഥയ്ക്ക്	kɐt̪ɨkːu
കഥാ	kəθɑː
കഥാപാത്രം	kɐt̪ɐpɐːt̪ɾɐm
കഥാപാത്രങ്ങളെ	kɐt̪ʰɑːpɑːt̪ɾɑnɲɑːɭe
കഥാപാത്രങ്ങള്	kɐt̪ɐpɐːt̪ɾɐnɳɐɭ
കഥാപാത്രത്തിന്റെ	kɐt̪ɐpɐːt̪ɾit̪t̪i
കഥാപാത്രത്തെ	kaɳɐpɐːtrɛːɳe
കദം	kəɳɳ
കനം	kənem
കനത്ത	kan̪ːɖə
കനമുണ്ട്	kan̪əmuɭʈ
കനമുള്ള	kan̪əmuɭːə
കനാല്	kənɑːl
കനാൽ	kəɳɑːl
കനിയട്ടെ	kan̪jɐt̪ːe
കനിവ്	kaniʋ
കനെക്റ്റ്	kənekʈʈ
കന്	kəɳ
കന്ട്രോള്	kan̪t̪roːl̪
കന്നഡ	kɐnɳɳɐɳɳɐ
കന്നുകാലി	kɐn̪n̪ugɑːli
കന്നുകാലികളെ	kɐn̪n̪ukɑːlɪkɐlɛ
കന്യക	kəɳjək
കന്യകയായ	kəɳjəkɑjɑː
കന്യകയുടെ	kanjɐkɐjɪd̪ʱe
കന്യകയെ	kanjɐkɐjɛ
കന്യകാത്വം	kanjɐkɐt̪ʋɐm
കന്യാ	kaɳjɑː
കന്യാമറിയം	kanjɑːmɐrijɑːm
കന്യാമറിയത്തെ	kanjɑːmɛːɾjɑːt̪ːɛ
കന്യാമാതാവിനെ	kanjɑːmɑːtɑːʋine
കന്യാസ്ത്രീ	kanjɑːst̪riː
കന്യാസ്ത്രീകള്	kanjɑːs̪t̪riːgɑːɭ
കന്യാസ്ത്രീയുടെ	kanjɑːst̪riːɐjɨt̪
കപട	kapɖɐ
കപടമായി	kəpɐɖɐmaɪ
കപൂർ	kapuːr
കപ്പ	kɐpː
കപ്പലണ്ടി	kɐpːɐɭɳɖi
കപ്പലിനെ	kɐpːɐlinɛ
കപ്പലിന്	kɐpːɐlɪnɯ
കപ്പലിന്റെ	kapːalint̪e
കപ്പലിലെ	kɐpːɐliɛ
കപ്പലിലേക്ക്	kapːəliːgɯ
കപ്പലില്	kapːəliː
കപ്പലിൽ	kapːəliɭ
കപ്പലുകള്	kapːologɐ
കപ്പല്	kɐpːɐl
കപ്പിന്	kapːin̪u
കപ്പില്	kɐpːil
കപ്പിൽ	kɐpːɪɭ
കപ്പു	kɐpːu
കപ്പും	kəpːu
കപ്പെടും	kəpɛʈuŋ
കപ്പ്	kɐpː
കപ്പൽ	kɐpːɐl
കഫാ൪	kaːpʰɑː
കഫെ	kʌfe
കഫെയില്	kafeːl
കഫെയിൽ	kafejil
കഫേ	kafe
കഫേയില്	kaːpʰeːil
കബാ	kaˈba
കബാനിലെ	kɐbɑːn̪iːlɛ
കബാബ്	kəˈbɑːb
കബെയ്ജാന്	kabeːdʒaːn
കമന്	kəmanə
കമന്റുകള്	kəmon̪t̪əɭ
കമറോട്ട്	kamɾoːt̪ː
കമഴ്ത്തിക്കോളൂ	kaməɖɨt̪ikoːɭuː
കമാണ്ടര്	kəmaːɳɳɖəɾə
കമാണ്ടാൻറിൻറെ	kamaːɳɳaːɾine
കമാണ്ടാൻറ്റ്	kəmaːɳɳəɳː
കമാണ്ടൻറിനെ	kəmaːɳɳəɾiɳe
കമാണ്ടൻറ്	kəmaːɳɳəɽ
കമാണ്ടൻറ്റ്	kaːmɑːɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳɳ�
കമാണ്ടർ	kamaːɳɖɑːr
കമാന്	kəmaːn
കമാല്	kəmaːl
കമാൻഡർ	kəmaːɳɖəɾ
കമിതാക്കള്	kəmit̪ɐkːɐɭ
കമിന്	kəmin
കമിഴ്ന്നു	kəmiɻɳːu
കമോണ്	kəmoːɳ
കമോൺ	kəmoːn
കമൌ	kamau
കമ്പം	kɐm̆bɐm
കമ്പനി	kɐm̪bɐni
കമ്പനികള്	kɐmbɐnɪkɐɭ
കമ്പനിക്ക്	kɐm̆bɐnikːu
കമ്പനികൾ	kɐmbɐnɪkɛː
കമ്പനിയാണ്	kɐm̆b̆aniːjɐːm
കമ്പനിയായ	kʌm̆b̆aniʌjɑː
കമ്പനിയിലെ	kɐmbɐniːjɛː
കമ്പനിയിലേക്ക്	kɐmbɐniːjɛːkːu
കമ്പനിയില്	kɐm̪bɐniːjɪɭ
കമ്പനിയിൽ	kɐm̆bɐɲɲɪɭ
കമ്പനിയും	kaːm̆b̆aniːjʌm̆
കമ്പനിയുടെ	kɐm̆b̆an̆iːj̆
കമ്പനിയുണ്ട്	kɐm̆b̆aniɪɯɭt̪
കമ്പനിയെ	kaːm̆b̆aniʝe
കമ്പനിയോട്	kəmp̪ənjoːʈ
കമ്പി	kɐmbi
കമ്പികള്	kɐmbiɭɐ
കമ്പിളി	kaːmbiɭi
കമ്പിവേലി	kɐmbiʋeːli
കമ്പോഡിയയില്	kɐmbɔɖijɐjil
കമ്പ്യൂട്ടര്	kɐmbuːʈːɐr
കമ്പ്യൂട്ടറിന്	kɐmbuːʈːəɾiɳ
കമ്പ്യൂട്ടറില്	kɐmʋuːʈːeːɾɪl
കമ്പ്യൂട്ടറിൽ	kɐmbuːʈːəɾɪl
കമ്പ്യൂട്ടറും	kɐmbuːʈːəɾuːm
കമ്പ്യൂട്ടറുകള്	kɐmbuːʈːeːroːɭə
കമ്പ്യൂട്ടറുകൾ	kɐmʲpːuːʈːɐruʈːeː
കമ്പ്യൂട്ടർ	kɐmʲpːuːʈːəɾ
കമ്പ്ലീറ്റ്	kɐmpl̪iːt̪
കമ്മറ്റി	kəˈmːɛːʈi
കമ്മറ്റിയില്	kəmeːʈiːl
കമ്മിറ്റി	kəmiːʈːi
കമ്മിറ്റിക്ക്	kəmit̪ːiʈːu
കമ്മിറ്റിയുടെ	kɐmːiːt̪ːiːd̪ʱi
കമ്മിഷണര്	kəmiʂɳəɾə
കമ്മീഷണര്	kəmeːʂɳəɾə
കമ്മീഷന്	kɐmːiːʂɐn
കമ്മീഷൻ	kɐmːiːʂɳ
കമ്മ്യൂണിക്കേഷന്	kəːmːuːɳiːkɛːʃɑːnə
കമ്മ്യൂണിസം	kɐmːuːn̪iːsɐm
കമ്മ്യൂണിസ്റ്റാണോ	kɐmːuːɳist̪ɑːɳo
കമ്മ്യൂണിസ്റ്റുകളെ	kɐmːuːɳist̪ɐkɐle
കമ്മ്യൂണിസ്റ്റ്	kəˈmːuːnɪsʈ
കമ്മൽ	kɐmːɐl
കമ്യൂണിസ്റ്റുകള്	kamjuːɳiːsʈoːɭ
കമ്യൂണിസ്റ്റ്	kamjuːɳist̪ɪʃ
കമ്യൂണിസ്റ്റ്കാര്	kamjuːɳiːs̪t̪ɐkaːɾ
കമ്രാന്	kamɾaːn
കയര്	kajɐr
കയറട്ടെ	kajɾɐʈʈe
കയറണം	kajɾɐɳɐm
കയറണോ	kajəɾɳo
കയറരുത്	kajɾɐɾut̪
കയറാം	kajɾaːm
കയറാനും	kajɾɑːn̪u
കയറാനുള്ള	kajɾɑːnuɭː
കയറാന്	kajɾaːn
കയറാൻ	kɐjɾɑːn
കയറി	kɐjɾi
കയറിക്കോ	kajɾikoː
കയറിന്റെ	kajəriːntə
കയറിപ്പോയി	kajɾɪpoːji
കയറിയ	kaɪɾiʌ
കയറിയതാണ്	kaɪɾiʌtɑːm
കയറിയത്	kaɪɾiːɪɖɐt̪
കയറിയപ്പോൾ	kaɪɾiʌpːoːɭ
കയറിയാല്	kajəɾijɑːl
കയറിയാൽ	kaɪɾiɑːl
കയറിയിട്ടില്ല	kɐjɾijɨtːɪɭː
കയറിയിട്ടുണ്ട്	kaɪɾiʔːɪɳt̪uɭt̪u
കയറിയിട്ട്	kaɪɾiːɳɨt̪
കയറിയിരിക്കുന്നത്	kaɪɾiɪɾɪn̪n̪ɪɳɳɐt̪
കയറിയില്ലേ	kaɪɾiʌɭɯɭeː
കയറിയോ	kaɪɾiʌː
കയറിൽ	kajɾil
കയറു	kajɾu
കയറും	kajɾum
കയറുക	kajuɾugɐ
കയറുകയാണ്	kajuɾukajaːm
കയറുകയും	kajəɾəgum
കയറുകൊണ്ട്	kajɾukoŋɭ
കയറുന്നത്	kajɾɐɳɖɛt̪
കയറുന്നു	kɐjɾɐn̪n̪u
കയറുമോ	kajɾumoː
കയറുമ്പോള്	kajɾumboːl
കയറൂ	kajɾuː
കയറ്	kajəɾ
കയറ്റം	kajɛːt̪ɐm
കയറ്റണം	kajɛʈɳɐm
കയറ്റരുത്	kɑjɛːd̪ɾuʈ
കയറ്റാതെ	kəjɛːt̪ɑːt̪e
കയറ്റാന്	kajɑːt̪ɑːn̪
കയറ്റാമോ	kajɛːt̪ɑːmoː
കയറ്റാൻ	kajɛːʈɑːn
കയറ്റി	kɐjɐʈi
കയറ്റിയത്	kajɛːd̪iːɖɐt̪
കയറ്റില്ല	kajɛːt̪ɪɭː
കയറ്റു	kajɨʈu
കയറ്റും	kajɛːʈum
കയറ്റുന്നത്	kɑjɛɳɳɛt̪ː
കയറ്റുമതി	kajɛːt̪umɨt̪i
കയറ്റുമോ	kajɛːtumoː
കയറ്റൂ	kajɛːt̪uː
കയറ്റ്	kɑjɛt̪
കയാക്ക്	kʰɑjɑkːʰ
കയിൽ	kɑjɪl
കയ്യക്ഷരം	kaɪkʂəɾɐm
കയ്യടി	kajɳɳɖi
കയ്യടിച്ചേ	kajːɳɳɪt̪ːeː
കയ്യിലാ	kaɪjɪlaː
കയ്യിലാണോ	kajːɪlɑːɳo
കയ്യിലാണ്	kaɪjɪlaːm
കയ്യിലില്ല	kajːililː
കയ്യിലില്ലേ	kajːilɪɭːeː
കയ്യിലും	kaɪlɪm
കയ്യിലുണ്ടായിരുന്ന	kaɪjilundɑːɾɛɳɳɑː
കയ്യിലുണ്ടെങ്കില്	kajːilun̪d̪eŋkil
കയ്യിലുണ്ടോ	kaɪjilun̪d̪o
കയ്യിലുണ്ട്	kajːilʌɳɖ
കയ്യിലുള്ള	kaɪjːiɭɛːɭ
കയ്യിലുള്ളതെല്ലാം	kaɪjɪlɛːɭɛn̪t̪ɛɭɭɑːm
കയ്യിലുള്ളത്	kaɪjilɛn̪t̪əʈ
കയ്യിലെ	kaɪjːeː
കയ്യിലെടുക്കാന്	kajːɪleːʈʊkɑːn
കയ്യിലെടുത്തു	kajːɪleːɳɖuː
കയ്യിലൊന്നുമില്ല	kaɪjilɔnːumɪllɐ
കയ്യിലൊരു	kajːiloɾu
കയ്യില്	kaɪjil
കയ്യില്ലാത്ത	kəjɪllaːt̪ːə
കയ്യിൽ	kajːil
കയ്യീന്ന്	kajːɨnː
കയ്യും	kajːum
കയ്യുടെ	kaɪt̪t̪u
കയ്യുയര്	kaɪjuɾ
കയ്യുറ	kajur
കയ്യെടുക്ക്	kajːeɖukː
കയ്യെത്തിച്ച്	kaɪjɨt̪ːiʈː
കയ്യോ	kajjo
കയ്യോടെ	kɐjːoːɖe
കയ്യ്	kaɪ
കയ്സര്	kaɪsɐr
കയർ	kɐjɾ̩
കര	kəɾə
കരം	kɐɾəm
കരഘോഷത്തോടെയാണ്	kɐɾəgoːʃətt̪oːɖeːɐːm
കരങ്ങളില്	kɐɾəŋgɐlil
കരങ്ങൾ	kɐɾəŋgəɭe
കരച്ചിലും	kɐɾɐtʃːiːlʌ
കരച്ചില്	kɐɾɒtʃil
കരച്ചിൽ	kɐɾɒtʃil
കരഞ്ഞത്	kɐɾɐɲːɳɨt̪
കരഞ്ഞാൽ	kɐɾɐɲːɑːl
കരഞ്ഞിട്ടുണ്ട്	kɐɾɐɲːɪtːuŋgu
കരഞ്ഞു	kɐɾɐɲːu
കരഞ്ഞുകൊണ്ട്	kɐɾɐɲːʊkɔɳʈ
കരഞ്ഞോ	kɐɾɐɲːo
കരഞ്ഞോണ്ട്	kɐɾɐɲːoːɳʈ
കരഞ്ഞ്	kɐɾɐɲɳ
കരടി	kəɾɐɖi
കരടികളുടെ	kɐɾɐɖɪkɐɭuɖe
കരടികളെ	kəɾəɖɪkəlɛ
കരടികള്	kəɾəɳiɳəɭ
കരടിക്ക്	kəɾəɖik
കരടികൾ	kəɾəɳiʈiḷ
കരടിയാണ്	kəɾəɖijɑːm
കരടിയുടെ	kəɾəɖiʋə
കരടിയെ	kəɾəɖije
കരടിയെപ്പോലെ	kɐɾɐɖijɛːpoːle
കരണ്	kəɾən̪
കരണ്ട്	kɐɾɐɳɭʈ
കരമാണ്	kɐɾɐmːɐɳ
കരയണം	kɐɾɐjɐɳɯm
കരയണ്ട	kɐɾɐjɐɳɳɐ
കരയരുത്	kɐɾɐjɐɾut̪
കരയല്ലേ	kɐɾɐjɐɭːe
കരയാതിരിക്കൂ	kɐɾɐjɐt̪iɾiguː
കരയാതെ	kɐɾɐjɐt̪e
കരയാന്	kɐɾɑːjɑːn
കരയാൻ	kəɾəjɑːɳ
കരയിലെ	kɐɾɐjɛ
കരയിലേക്ക്	kɐɾɐjiːkɯ̆
കരയില്	kɐɾɐjiɭ
കരയിൽ	kɐɾɐj
കരയും	kɐɾəjuṃ
കരയുകയാണോ	kɐɾɐjukɐɲɔ
കരയുകയാണ്	kɐɾɐjugɐɲɑːm
കരയുകയായിരുന്നു	kɐɾɐjukɐːgɐːn̪d̪eː
കരയുന്ന	kɐɾɐjuɳ
കരയുന്നത്	kɐɾɐjɐn̪d̪eːt̪ː
കരയുന്നു	kɐɾɐjuːɳɳu
കരയുന്നുണ്ടായിരുന്നു	kɐɾɐjuɳuɳɯɳɯɳɯ
കരയുന്നെ	kɐɾɐjuŋŋe
കരയുന്നോ	kɐɾɐjuɳɳo
കരയുവാണോ	kɐɾɐjuʋɑːɳo
കരയൂ	kɐɾɐju
കരയേണ്ട	kɐɾɐjeːɳɳə
കരയേണ്ടി	kɐɾɐjẽɳɖi
കരയ്	kɐɾəɪ
കരളിന്	kɐɾɐliɳ
കരള്	kəɾəɭə
കരവിരുത്	kɐɾɐʋɪɾuʈ
കരസ്ഥമാക്കാൻ	kɐɾəst̪əmaːkɑːɳ
കരാര്	kɐɾɑːɾ
