ং	ŋ
চউখ	sɔux
চউখ	t̪sɔuk
চওড়া	tɕɔo̯ɹaˑ
চওড়া	tʃɔo̯ɽaˑ
চওড়া	tʃɔo̯ɾaˑ
চকলেট	tɕɔklet
চকলেট	tɕɔkolet
চকলেট	tʃɔkleʈ
চকলেট	tʃɔkoleʈ
চক্র	tɕɔkɹoˑ
চক্র	tʃɔkɾoˑ
চক্রবর্তী	tɕɔkɹɔboɹt̪iˑ
চক্রবর্তী	tʃɔkɾɔboɾt̪iˑ
চচ্চড়ি	tɕɔtɕːoɹiˑ
চচ্চড়ি	tʃɔtʃːoɽiˑ
চচ্চড়ি	tʃɔtʃːoɾiˑ
চঞ্চলতা	tɕɔntɕɔlot̪aˑ
চঞ্চলতা	tʃɔntʃɔlot̪aˑ
চট্টগ্রাম	tɕɔtːogɹam
চট্টগ্রাম	tʃɔʈːogɾam
চট্টোপাধ্যায়	tɕɔtːopad̪ʱːae̯
চট্টোপাধ্যায়	tʃɔʈːopad̪ʱːae̯
চড়া	tɕɔɹaˑ
চড়া	tʃɔɽaˑ
চড়া	tʃɔɾaˑ
চড়াই	tʃɔɽai̯
চন্দন	tɕɔnd̪ɔn
চন্দন	tʃɔnd̪ɔn
চন্দ্র	tɕɔnd̪ːɾoˑ
চন্দ্র	tʃɔnd̪ːɾoˑ
চন্দ্রগ্রহণ	tɕɔnd̪ːɹɔgɹɔhon
চন্দ্রগ্রহণ	tʃɔnd̪ːɾɔgɾɔhon
চন্দ্রবিন্দু	tɕɔnd̪ːɾobind̪uˑ
চন্দ্রবিন্দু	tʃɔnd̪ːɾobind̪uˑ
চন্দ্রমুখী	t̪sɔ̃n̪d̪ɾɔmukʰi
চব্বিশ	tɕobːiʃ
চব্বিশ	tʃobːiʃ
চম্পা	tɕɔmpaˑ
চম্পা	tʃɔmpaˑ
চমৎকার	tɕɔmɔt̪kaɹ
চমৎকার	tʃɔmɔt̪kaɾ
চরণ	tɕɔɹon
চরণ	tʃɔɾon
চরম	tɕɔɹom
চরম	tʃɔɾom
চরানো	tɕɔɹanoˑ
চরানো	tʃɔɾanoˑ
চর্বি	tɕoɹbiˑ
চর্বি	tʃoɾbiˑ
চর্যাপদ	tɕɔɹdʑapɔd̪
চর্যাপদ	tʃɔɾdʒapɔd̪
চলচ্চিত্র	sɔlɔsit̪ɹɔˑ
চলচ্চিত্র	sɔlɔsːit̪ɹɔˑ
চলচ্চিত্র	tɕɔlotɕit̪ːɹoˑ
চলচ্চিত্র	tɕɔlotɕːit̪ːɹoˑ
চলচ্চিত্র	t̪sɔlɔt̪sit̪ɾɔˑ
চলচ্চিত্র	t̪sɔlɔt̪st̪sit̪ɾɔˑ
চলচ্চিত্র	tʃɔlotʃit̪ːɾoˑ
চলচ্চিত্র	tʃɔlotʃːit̪ːɾoˑ
চশম	tɕɔʃom
চশম	tʃɔʃom
চশমা	sɔʃmaˑ
চশমা	tɕɔʃmaˑ
চশমা	t̪sɔʃmaˑ
চশমা	tʃɔʃmaˑ
চা	tɕaː
চা	tɕaˑ
চা	tʃaˑ
চাঁকা	tɕakaˑ
চাঁকা	tʃãkaˑ
চাঁছা	tɕatɕʰaˑ
চাঁছা	tʃãtʃʰaˑ
চাঁটগাঁ	satgaˑ
চাঁটগাঁ	tɕatgaˑ
চাঁটগাঁ	t̪satgaˑ
চাঁটগাঁ	tʃãʈgãˑ
চাঁদ	tɕad̪
চাঁদ	tʃãd̪
চাঁপা	tɕapaˑ
চাঁপা	tʃãpaˑ
চাউর	tɕau̯ɹ
চাউর	tʃau̯ɾ
চাউল	sau̯l
চাউল	tɕau̯l
চাউল	t̪sau̯l
চাউল	tʃau̯l
চাওয়া	sao̯aˑ
চাওয়া	tɕao̯aˑ
চাওয়া	t̪sao̯aˑ
চাওয়া	tʃao̯aˑ
চাকমা	tɕakmaˑ
চাকমা	tʃakmaˑ
চাকরানী	tɕakɹaniˑ
চাকরানী	tʃakɾaniˑ
চাকরী	tɕakɹiˑ
চাকরী	tʃakɾiˑ
চাকা	tɕakaˑ
চাকা	tʃakaˑ
চাকু	tɕakuˑ
চাকু	tʃakuˑ
চাগা	tɕagaˑ
চাগা	tʃagaˑ
চাটগাঁ	satgaˑ
চাটগাঁ	tɕatgaˑ
চাটগাঁ	t̪satgaˑ
চাটগাঁ	tʃaʈgãˑ
চাটনি	tɕatniˑ
চাটনি	tʃaʈniˑ
চাটা	tɕataˑ
চাটা	tʃaʈaˑ
চাটুজ্জে	tɕatudʑːeˑ
চাটুজ্জে	tʃaʈudʒdʒeˑ
চাটুজ্জে	tʃaʈuz̪̪dʒeˑ
চাড়ি	tɕaɹiˑ
চাড়ি	tʃaɽiˑ
চাড়ি	tʃaɾiˑ
চাতক	tɕat̪ok
চাতক	tʃat̪ok
চাদর	tɕad̪oɹ
চাদর	tʃad̪oɾ
চান্দ্র	tɕand̪ːɹoˑ
চান্দ্র	tʃand̪ːɾoˑ
চাপ	tɕap
চাপ	tɕaːp
চাপ	tʃap
চাপাতি	tɕapat̪iˑ
চাপাতি	tʃapat̪iˑ
চাবি	sabiˑ
চাবি	tɕabiˑ
চাবি	t̪sabiˑ
চাবি	tʃabiˑ
চাবুক	tɕabuk
চাবুক	tʃabuk
চামচ	tɕamotɕ
চামচ	tɕamutɕ
চামচ	tʃamotʃ
চামচ	tʃamutʃ
চামড়া	tɕamɹaˑ
চামড়া	tʃamɽaˑ
চামড়া	tʃamɾaˑ
চামেলি	tɕameliˑ
চামেলি	tʃameliˑ
চার	tɕaɹ
চার	tʃaɾ
চার্চ	tɕaɹtɕ
চার্চ	tʃaɾtʃ
চার্লস	tɕaɹls
চার্লস	tʃaɾls
চাল	sal
চাল	tɕal
চাল	tɕaːl
চাল	t̪sal
চাল	tʃal
চালকুমড়া	tɕalkumɹaˑ
চালকুমড়া	tʃalkumɽaˑ
চালকুমড়া	tʃalkumɾaˑ
চালকুমড়ো	tɕalkumɹoˑ
চালকুমড়ো	tʃalkumɽoˑ
চালকুমড়ো	tʃalkumɾoˑ
চালু	tɕaluˑ
চালু	tʃaluˑ
চাষ	tɕaʃ
চাষ	tɕaːʃ
চাষ	tʃaʃ
চাহিদা	sahid̪aˑ
চাহিদা	tɕahid̪aˑ
চাহিদা	t̪sahid̪aˑ
চাহিদা	tʃahid̪aˑ
চিঁড়া	siɹaˑ
চিঁড়া	tɕiɹaˑ
চিঁড়া	t̪siɾaˑ
চিঁড়া	tʃiɽaˑ
চিঁড়া	tʃiɾaˑ
চিঁড়া	tʃĩɽaˑ
চিঁড়া	tʃĩɾaˑ
চিংড়ি	tɕiŋɹiˑ
চিংড়ি	tʃiŋɽiˑ
চিংড়ি	tʃiŋɾiˑ
চিকন	tɕikon
চিকন	tʃikon
চিকিত্সা	tɕikit̪ʃaˑ
চিকিত্সা	tʃikit̪ʃaˑ
চিকিৎসক	tɕikit̪ʃɔk
চিকিৎসক	tʃikit̪ʃɔk
চিকুৎকুৎ	sixut̪xut̪
চিকুৎকুৎ	tɕikut̪kut̪
চিকুৎকুৎ	t̪sikut̪kut̪
চিকুৎকুৎ	tʃikut̪kut̪
চিজ	tɕidʑ
চিজ	tʃidʒ
চিটাগুড়	tɕitaguɹ
চিটাগুড়	tʃiʈaguɽ
চিটাগুড়	tʃiʈaguɾ
চিঠা	tʃiʈʰa
চিঠি	tɕitʰiˑ
চিঠি	tʃiʈʰiˑ
চিড়িয়াখানা	tɕiɹi̯akʰanaˑ
চিড়িয়াখানা	tʃiɽi̯akʰanaˑ
চিড়িয়াখানা	tʃiɾi̯akʰanaˑ
চিতল	tɕit̪ol
চিতল	tʃit̪ol
চিতা	tɕit̪aˑ
চিতা	tʃit̪aˑ
চিত্র	tɕit̪ːɹoˑ
চিত্র	tʃit̪ːɾoˑ
চিত্রিত	tɕit̪ːɹit̪oˑ
চিত্রিত	tʃit̪ːɾit̪oˑ
চিনি	tɕiniˑ
চিনি	tʃiniˑ
চিন্তাভাবনা	tɕint̪abʱabnaˑ
চিন্তাভাবনা	tɕint̪avabnaˑ
চিন্তাভাবনা	tʃint̪abʱabnaˑ
চিন্তাভাবনা	tʃint̪avabnaˑ
চিবানো	tɕibanoˑ
চিবানো	tʃibanoˑ
চিমনি	tɕimniˑ
চিমনি	tʃimniˑ
চির	tɕiɹoˑ
চির	tʃiɾoˑ
চিরকাল	tɕiɹokal
চিরকাল	tʃiɾokal
চিলি	tɕiliˑ
চিলি	tʃiliˑ
চিল্লাচিল্লি	tɕilːatɕilːiˑ
চিল্লাচিল্লি	tʃilːatʃilːiˑ
চিহ্ন	tɕinhoˑ
চিহ্ন	tɕinːoˑ
চিহ্ন	tʃinhoˑ
চিহ্ন	tʃinːoˑ
চিৎ	tɕit̪
চিৎ	tʃit̪
চীনামাটি	tɕinamatiˑ
চীনামাটি	tʃinamaʈiˑ
চুঁকা	tɕukaˑ
চুঁকা	tʃũkaˑ
চুঁচি	tʃũtʃiˑ
চুকিৎকিৎ	suxit̪xit̪
চুকিৎকিৎ	tɕukit̪kit̪
চুকিৎকিৎ	t̪sukit̪kit̪
চুকিৎকিৎ	tʃukit̪kit̪
চুদা	tɕud̪aˑ
চুদা	tʃud̪aˑ
চুন	tɕun
চুন	tɕuːn
চুন	tʃun
চুরানব্বই	tɕuɹanɔbːoi̯
চুরানব্বই	tʃuɾanɔbːoi̯
চুরি	tɕuɹiˑ
চুরি	tʃuɾiˑ
চুরুট	tɕuɹut
চুরুট	tʃuɾuʈ
চুরুলিয়া	tɕuɹuli̯aˑ
চুরুলিয়া	tʃuɾuli̯aˑ
চুল	sul
চুল	tɕul
চুল	tɕuːl
চুল	t̪sul
চুল	tʃul
চুলা	tɕulaˑ
চুলা	tʃulaˑ
চূড়া	tɕuɹaˑ
চূড়া	tʃuɽaˑ
চূড়া	tʃuɾaˑ
চূর্ণ	tɕuɹnoˑ
চূর্ণ	tʃuɾnoˑ
চেপটা	tɕeptaˑ
চেপটা	tʃepʈaˑ
চেয়ার	tɕeaɹ
চেয়ার	tʃeaɾ
চেয়ে	sɛˑ
চেয়ে	tɕeː
চেয়ে	tɕeˑ
চেয়ে	t̪sɛˑ
চেয়ে	tʃeˑ
চেরা	tɕeɹaˑ
চেরা	tʃeɾaˑ
চেষ্টা	sɛʃtaˑ
চেষ্টা	tɕestaˑ
চেষ্টা	tɕeʃtaˑ
চেষ্টা	t̪sɛʃtaˑ
চেষ্টা	tʃeʂʈaˑ
চেহারা	tɕehaɹaˑ
চেহারা	tɕæhaɹaˑ
চেহারা	tʃehaɾaˑ
চেহারা	tʃæhaɾaˑ
চৈত্র	tɕoi̯t̪ːɹoˑ
চৈত্র	tʃoi̯t̪ːɾoˑ
চোখ	tɕox
চোখ	tɕoːk
চোখ	tʃok
চোখ	tʃox
চোদা	tɕod̪aˑ
চোদা	tʃod̪aˑ
চোবানো	tɕobanoˑ
চোবানো	tʃobanoˑ
চোর	tɕoɹ
চোর	tʃoɾ
চোষা	tɕoʃaˑ
চোষা	tʃoʃaˑ
চৌধুরি	tsou̯d̪ʱuɾiˑ
চৌধুরি	tʃou̯d̪ʱuɾiˑ
চ্যাটার্জী	tɕɛtaɹdʑiˑ
চ্যাটার্জী	tʃæʈaɾdʒiˑ
চ্যাপটা	tɕɛptaˑ
চ্যাপটা	tʃæpʈaˑ
ছটফট	tɕʰɔtfɔt
ছটফট	tʃʰɔʈfɔʈ
ছত্তিশগড়	tɕʰot̪ːiʃgɔɹ
ছত্তিশগড়	tʃʰot̪ːiʃgɔɽ
ছত্তিশগড়	tʃʰot̪ːiʃgɔɾ
ছত্তীসগঢ়	tɕʰot̪ːiʃgɔɹ
ছত্তীসগঢ়	tʃʰot̪ːiʃgɔɽ
ছত্তীসগঢ়	tʃʰot̪ːiʃgɔɽʱ
ছত্তীসগঢ়	tʃʰot̪ːiʃgɔɾh
ছদ্মনাম	tɕʰɔd̪ːonam
ছদ্মনাম	tʃʰɔd̪ːonam
ছবি	sobiˑ
ছবি	tɕʰobiˑ
ছবি	tʃʰobiˑ
ছা	tɕʰaː
ছা	tɕʰaˑ
ছা	tʃʰaˑ
ছাই	sai̯
ছাই	tɕʰai̯
ছাই	tʃʰai̯
ছাগল	tʃʰagol
ছাড়া	tɕʰaɹaˑ
ছাড়া	tʃʰaɽaˑ
ছাড়া	tʃʰaɾaˑ
ছাড়ান	saɹan
ছাড়ান	saɾan
ছাড়ান	tɕʰaɹan
ছাড়ান	tʃʰaɽan
ছাড়ান	tʃʰaɾan
ছাতা	tʃʰat̪a
ছাদ	tɕʰad̪
ছাদ	tʃʰad̪
ছানা	sanaˑ
ছানা	tɕʰanaˑ
ছানা	tʃʰanaˑ
ছাপা	tɕʰapaˑ
ছাপা	tʃʰapaˑ
ছাপান্ন	tɕʰapanːoˑ
ছাপান্ন	tʃʰapanːoˑ
ছায়াছবি	tɕʰae̯atɕʰbiˑ
ছায়াছবি	tʃʰae̯atʃʰbiˑ
ছাল	tɕʰal
ছাল	tɕʰaːl
ছাল	tʃʰal
ছি	siˑ
ছি	tɕʰiː
ছি	tɕʰiˑ
ছি	tʃʰiˑ
ছিটকানো	tɕʰitkanoˑ
ছিটকানো	tʃʰiʈkanoˑ
ছিটমহল	tɕʰitmɔhol
ছিটমহল	tʃʰiʈmɔhol
ছুঁচ	tɕʰutɕ
ছুঁচ	tʃʰũtʃ
ছুঁচা	tɕʰutɕaˑ
ছুঁচা	tʃʰũtʃaˑ
ছুঁড়ী	t̪s̪ũɾiˑ
ছুট	sut
ছুট	tɕʰut
ছুট	tɕʰuːt
ছুট	tʃʰuʈ
ছুটি	sutiˑ
ছুটি	tɕʰutiˑ
ছুটি	tʃʰuʈiˑ
ছুড়ান	t̪ʃʰuɾä̃n̪
ছুরি	suɹiˑ
ছুরি	suɾiˑ
ছুরি	tɕʰuɹiˑ
ছুরি	t̪s̪uɾiˑ
ছুরি	tʃʰuɾiˑ
ছেঁচকি	tɕʰetɕkiˑ
ছেঁচকি	tʃʰẽtʃkiˑ
ছেচল্লিশ	tɕʰetɕɔlːiʃ
ছেচল্লিশ	tʃʰetʃɔlːiʃ
ছেলে	tɕʰeleˑ
ছেলে	tʃʰeleˑ
ছোঁড়া	t̪s̪õɾaˑ
ছোট	tɕʰotoˑ
ছোট	tʃʰoʈoˑ
ছোড়া	soɹaˑ
ছোড়া	soɾaˑ
ছোড়া	tɕʰoɹaˑ
ছোড়া	tʃʰoɽaˑ
ছোড়া	tʃʰoɾaˑ
ছোলা	solaˑ
ছোলা	tɕʰolaˑ
ছোলা	tʃʰolaˑ
জ	dʑɔː
জ	dʑɔˑ
জ	dʒɔˑ
জ	zɔˑ
জংগ্লি	dʑoŋgliˑ
জংগ্লি	dʒoŋgliˑ
জংলী	dʑoŋliˑ
জংলী	dʒoŋliˑ
জওহর	dʑɔo̯hoɹ
জওহর	dʒɔo̯hoɾ
জগ	dʑɔg
জগ	dʒɔg
জগৎ	dʑɔgot̪
জগৎ	dʒɔgot̪
জটামাংসী	dʑɔtamaŋʃiˑ
জটামাংসী	dʒɔʈamaŋʃiˑ
জটিল	dʑotil
জটিল	dʒoʈil
জড়ো	dʑɔɹoˑ
জড়ো	dʒɔɽoˑ
জড়ো	dʒɔɾoˑ
জন	dʑɔn
জন	dʑɔːn
জন	dʒɔn
জনসংখ্যা	dʑɔnoʃɔŋkʰaˑ
জনসংখ্যা	dʒɔnoʃɔŋkʰaˑ
জন্তু	dʑɔnt̪uˑ
জন্তু	dʒɔnt̪uˑ
জন্ম	dʑɔnmoˑ
জন্ম	dʒɔnmoˑ
জন্মদিন	dʑɔnmod̪in
জন্মদিন	dʒɔnmod̪in
জন্মস্থান	dʑɔnmɔst̪ʰan
জন্মস্থান	dʒɔnmɔst̪ʰan
জন্য	dʑɔnːoˑ
জন্য	dʒɔnːoˑ
জন্যে	dʑɔnːeˑ
জন্যে	dʒɔnːeˑ
জপ	dʑɔp
জপ	dʑɔːp
জপ	dʒɔp
জপা	dʑɔpaˑ
জপা	dʒɔpaˑ
জফর	dʑɔfoɹ
জফর	dʒɔfoɾ
জফর	zɔfoɹ
জফর	zɔfoɾ
জবান	dʑɔban
জবান	dʒɔban
জবান	zɔban
জবাব	dʑɔbab
জবাব	dʒɔbab
জব্দ	dʑɔbd̪oˑ
জব্দ	dʒɔbd̪oˑ
জমানা	dʑɔmanaˑ
জমানা	dʒɔmanaˑ
জমানা	zɔmanaˑ
জমি	dʑomiˑ
জমি	dʒomiˑ
জয়ন্ত	dʑɔe̯ont̪oˑ
জয়ন্ত	dʒɔe̯ont̪oˑ
জরুরী	dʑoɹuɹiˑ
জরুরী	dʒoɾuɾiˑ
জলদ	dʑɔlod̪
জলদ	dʒɔlod̪
জলসা	dʑɔlʃaˑ
জলসা	dʒɔlʃaˑ
জলহস্তী	dʑɔlohost̪iˑ
জলহস্তী	dʒɔlohost̪iˑ
জল্লাদ	dʑɔlːad̪
জল্লাদ	dʒɔlːad̪
জাঙ্গিয়া	dʑaŋi̯aˑ
জাঙ্গিয়া	dʒaŋi̯aˑ
জাতীয়	dʑat̪i̯oˑ
জাতীয়	dʒat̪i̯oˑ
জাদুকর	dʑad̪ukɔɹ
জাদুকর	dʑad̪ugɔɹ
জাদুকর	dʒad̪ukɔɾ
জাদুকর	dʒad̪ugɔɾ
জাদুঘর	dʑad̪ugʱɔɹ
জাদুঘর	dʒad̪ugʱɔɾ
জানলা	dʑanlaˑ
জানলা	dʒanlaˑ
জানা	dʑanaˑ
জানা	dʒanaˑ
জানানো	dʑananoˑ
জানানো	dʒananoˑ
জাফর	dʑafoɹ
জাফর	dʒafoɾ
জাফর	zaɸoɹ
জাফর	zaɸoɾ
জাফরান	dʑafɹan
জাফরান	dʒafɾan
জাফরান	zafɹan
জাফরান	zafɾan
জাবর	dʑabɔɹ
জাবর	dʒabɔɾ
জাভেদ	dʑabʱed̪
জাভেদ	dʑaved̪
জাভেদ	dʒabʱed̪
জাভেদ	dʒaved̪
জামদানী	dʑamd̪aniˑ
জামদানী	d̪zamd̪aniˑ
জামদানী	dʒamd̪aniˑ
জামদানী	zamd̪aniˑ
জামাইকা	dʑamai̯kaˑ
জামাইকা	dʒamai̯kaˑ
জামাতা	dʑamat̪aˑ
জামাতা	dʒamat̪aˑ
জামিন	zamin
জায়নামাজ	dʑae̯namadʑ
জায়নামাজ	dʒae̯namadʒ
জাহাঙ্গীর	dʑahaŋgiɹ
জাহাঙ্গীর	d̪zahaŋgiɾ
জাহাঙ্গীর	dʒahaŋgiɾ
জাহাঙ্গীর	zahaŋgiɹ
জাহাজ	dʑahadʑ
জাহাজ	d̪zahaz
জাহাজ	dʒahadʒ
জাহাজ	zahaz
জাহান	dʑahan
জাহান	dʒahan
জাহান্নাম	dʑahanːam
জাহান্নাম	dʒahanːam
জিজ্ঞাসা	dʑigːaʃaˑ
জিজ্ঞাসা	dʒigːaʃaˑ
জিত	dʑit̪
জিত	dʑiːt̪
জিত	dʒit̪
জিত	dʒiːt̪
জিন	dʑin
জিন	dʑiːn
জিন	dʒin
জিনিস	dʑiniʃ
জিনিস	dʒiniʃ
জিন্দা	dʑind̪aˑ
জিন্দা	d̪zind̪aˑ
জিন্দা	dʒind̪aˑ
জিন্দা	zind̪aˑ
জিব	dʑiboˑ
জিব	dʒiboˑ
জিভ	dʒiːb
জিয়া	dʑi̯aˑ
জিয়া	dʒi̯aˑ
জিয়ারত	dʑi̯aɹɔt̪
জিয়ারত	dʒi̯aɾɔt̪
জিরা	dʑiɹaˑ
জিরা	dʒiɾaˑ
জিরে	dʑiɹeˑ
জিরে	dʒiɾeˑ
জিৎ	dʑit̪
জিৎ	dʑiːt̪
জিৎ	d̪zit̪
জিৎ	d̪ziːt̪
জিৎ	dʒit̪
জিৎ	dʒiːt̪
জিৎ	zit̪
জিৎ	ziːt̪
জীবন	dʒibon
জীবনসঙ্গী	dʑibnɔʃɔŋgiˑ
জীবনসঙ্গী	dʒibnɔʃɔŋgiˑ
জীবন্ত	dʑibɔnt̪oˑ
জীবন্ত	dʒibɔnt̪oˑ
জুঝানো	dʑudʑʱanoˑ
জুঝানো	dʒudʒʱanoˑ
জুতা	dʑut̪aˑ
জুতা	dʒut̪aˑ
জুতো	dʑut̪oˑ
জুতো	dʒut̪oˑ
জুন	dʑun
জুন	dʑuːn
জুন	dʒun
জুনায়েদ	dʑunae̯d̪
জুনায়েদ	dʒunae̯d̪
জুম্মা	dʑumːaˑ
জুম্মা	dʒumːaˑ
জুয়া	dʑu̯aˑ
জুয়া	dʒu̯aˑ
জুলফি	dʑulfiˑ
জুলফি	dʒulfiˑ
জুলাই	dʑulai̯
জুলাই	dʒulai̯
জুলুম	dʑulm
জুলুম	dʑulum
জুলুম	dʒulm
জুলুম	dʒulum
জুলুম	zulm
জুলুম	zulum
জেতা	dʒet̪a
জেয়াদা	dʑead̪aˑ
জেয়াদা	dʒead̪aˑ
জেরাত	zeɹat̪
জেরাত	zeɾat̪
জেলা	dʑelaˑ
জেলা	dʒelaˑ
জেসমিন	dʑesmin
জেসমিন	dʑɛsmin
জেসমিন	dʒesmin
জেসমিন	dʒæsmin
জৈন	dʑoi̯n
জৈন	dʒoi̯n
জোঁক	dʑok
জোঁক	dʑõk
জোঁক	dʒõk
জোচ্চর	dʑotɕːoɹ
জোচ্চর	dʒotʃːoɾ
জোছনা	dʑosnaˑ
জোছনা	dʑotɕʰnaˑ
জোছনা	dʒosnaˑ
জোছনা	dʒotʃʰnaˑ
জোয়ার	dʑo̯aɹ
জোয়ার	dʒo̯aɾ
জোয়াল	dʑo̯al
জোয়াল	dʒo̯al
জোর	dʑoɹ
জোর	d̪zoɾ
জোর	dʒoɾ
জোর	zoɹ
জোরাজুরি	dʑoɹadʑuɹiˑ
জোরাজুরি	dʒoɾadʒuɾiˑ
জোরে	dʑoɹeˑ
জোরে	d̪zoɾɛˑ
জোরে	dʒoɾeˑ
জোরে	zoɹɛˑ
জ্ঞানী	gæniˑ
জ্ঞানী	gɛniˑ
জ্বালাতন	dʑalat̪on
জ্বালাতন	dʒalat̪on
জ্বালানো	dʑalanoˑ
জ্বালানো	dʒalanoˑ
জ্যাদা	dʑɛd̪aˑ
জ্যাদা	dʒæd̪aˑ
জ্যাম	dʑam
জ্যাম	dʑaːm
জ্যাম	dʑæm
জ্যাম	dʑæːm
জ্যাম	dʒam
জ্যাম	dʒæm
জ্যৈষ্ঠ	dʑoi̯stʰoˑ
জ্যৈষ্ঠ	dʑoi̯ʃtʰoˑ
জ্যৈষ্ঠ	dʒoi̯ʂʈʰoˑ
জ্যোতি	dʑot̪iˑ
জ্যোতি	dʒot̪iˑ
জ্যোতিষী	dʑot̪iʃiˑ
জ্যোতিষী	dʒot̪iʃiˑ
জ্যোৎস্না	dʑot̪s̪naˑ
জ্যোৎস্না	dʒot̪s̪naˑ
ঝগড়া	dʑʱɔgɹaˑ
ঝগড়া	dʒʱɔgɽaˑ
ঝগড়া	dʒʱɔgɾaˑ
ঝড়	dʑʱɔɹ
ঝড়	dʒʱɔɽ
ঝড়	dʒʱɔɾ
ঝড়ি	d̪z̪ɔɾiˑ
ঝড়ি	zɔɹiˑ
ঝড়ি	zɔɾiˑ
ঝনঝন	dʑʱɔndʑʱɔn
ঝনঝন	dʒʱɔndʒʱɔn
ঝরনা	dʑʱɔɾnaˑ
ঝরনা	dʒʱɔɾnaˑ
ঝরা	dʑʱɔɹaˑ
ঝরা	dʒʱɔɾaˑ
ঝাঁকানো	dʑʱakanoˑ
ঝাঁকানো	dʒʱãkanoˑ
ঝাঁটা	dʑʱataˑ
ঝাঁটা	dʒʱãʈaˑ
ঝাড়খণ্ড	dʑʱaɹkʰɔnd
ঝাড়খণ্ড	dʒʱaɽkʰɔɳɖ
ঝাড়খণ্ড	dʒʱaɾkʰɔɳɖ
ঝান্ডা	dʑʱandaˑ
ঝান্ডা	dʒʱaɳɖaˑ
ঝি	dʑʱiː
ঝি	dʑʱiˑ
ঝি	dʒʱiˑ
ঝিঙা	dʑʱiŋaˑ
ঝিঙা	d̪z̪iŋãˑ
ঝিঙা	dʒʱiŋãˑ
ঝিঙা	zíŋaˑ
ঝিঙা	zʱiŋaˑ
ঝিনাইদহ	dʑʱinai̯d̪ɔhoˑ
ঝিনাইদহ	dʒʱinai̯d̪ɔhoˑ
ঝুট	dʑʱut
ঝুট	dʒʱuʈ
ঝুলা	dʑʱulaˑ
ঝুলা	dʒʱulaˑ
ঝোল	dʑʱol
ঝোল	dʒʱol
ঝোলানো	dʒʱolano
টপকানো	tɔpkanoˑ
টপকানো	ʈɔpkanoˑ
টমটম	tɔmtɔm
টমটম	ʈɔmʈɔm
টরন্টো	tɔɹontoˑ
টরন্টো	ʈɔɾoɳʈoˑ
টাং	taŋ
টাং	ʈaŋ
টাং	ʈ̟äːŋ
টাউট	tau̯t
টাউট	ʈau̯ʈ
টালি	taliˑ
টালি	ʈaliˑ
টিকট	ʈ̟ikɔˑʈ̟
টিকটিকি	tiktikiˑ
টিকটিকি	ʈikʈikiˑ
টিকা	tikaˑ
টিকা	ʈikaˑ
টিকিট	tikit
টিকিট	ʈikiʈ
টিপাই	ʈ̟ipai̯ˑ
টিয়া	ti̯aˑ
টিয়া	ʈi̯aˑ
টুটা	tutaˑ
টুটা	ʈuʈaˑ
টুপি	tupiˑ
টুপি	ʈupiˑ
টেবিল	tebil
টেবিল	ʈebil
টের	teɹ
টের	ʈeɾ
টের	ʈeːɾ
টেলিভিশন	telibʱiʃɔn
টেলিভিশন	teliviʃɔn
টেলিভিশন	ʈelibʱiʃɔn
টেলিভিশন	ʈeliviʃɔn
টোনি	toniˑ
টোনি	ʈoniˑ
টোপর	topɔɹ
টোপর	ʈopɔɾ
ট্রানজিস্টার	tːɹandʑistaɹ
ট্রানজিস্টার	ʈːɾandʒisʈaɾ
ট্রানজিস্টার	ʈːɾandʒiʂʈaɾ
ট্রেন	teːn
ট্রেন	tːɹen
ট্রেন	ʈeːn
ট্রেন	ʈːɾen
ঠাঁই	tʰai̯
ঠাঁই	ʈʰãiˑ
ঠাকুর	ʈ̟ʰäkuˑɾ
ঠাকুরগাঁও	ʈʰakuɾgãoˑ
ঠাকুরঘর	tʰakuɹgʱɔɹ
ঠাকুরঘর	ʈʰakuɾgʱɔɾ
ঠান্ডা	tʰandaˑ
ঠান্ডা	ʈʰaɳɖaˑ
ঠিক	tʰik
ঠিক	tʰiːk
ঠিক	ʈʰik
ঠিক	ʈʰiːk
ঠিকানা	tʰikanaˑ
ঠিকানা	ʈʰikanaˑ
ঠেং	ʈ̟ʰæːŋ
ঠেং	ʈ̟ʰɛːŋ
ঠেলা	tʰelaˑ
ঠেলা	ʈʰelaˑ
ঠোঁট	ʈʰoʈ
ঠোঁট	ʈʰõʈ
ঠ্যাং	tʰɛŋ
ঠ্যাং	ʈʰæŋ
ডগা	dɔgaˑ
ডগা	ɖɔgaˑ
ডঙ্কা	dɔŋkaˑ
ডঙ্কা	ɖɔŋkaˑ
ডজন	dɔdʑon
ডজন	dɔdʑʱon
ডজন	dɔd̪zon
ডজন	dɔzon
ডজন	ɖɔdʒon
ডজন	ɖɔdʒʱon
ডজন	ɖɔzon
ডবল	dɔbol
ডবল	ɖɔbol
ডমরু	dɔmɹuˑ
ডমরু	ɖɔmɾuˑ
ডলফিন	dɔlfin
ডলফিন	ɖɔlfin
ডাঁট	dat
ডাঁট	daːt
ডাঁট	ɖãʈ
ডাঁট	ɖãːʈ
ডাঁশ	ɖ̟ãːʃ
ডাইনি	dai̯niˑ
ডাইনি	ɖai̯niˑ
ডাকনাম	daknam
ডাকনাম	ɖaknam
ডাক্তার	dakt̪aɹ
ডাক্তার	ɖakt̪aɾ
ডাঙর	daŋoɹ
ডাঙর	daŋoɾ
ডাঙর	ɖaŋoɾ
