一蕊花	tsit˧ lui˥ hue˧
感謝主	kam˥sia˦ tsu˥
捾桶仔丼一聲就落入去鼓井內矣。	kuã˦tʰaŋ˥a˥ tom˦ tsit˧ sĩã˧ to˦ lak˧ dzip˩kʰi˨ kɔ˥te˥˧lai˦aʔ˧.
糋好的芋仔糋欲食進前愛閣乍一下。	tsi˩˧ ho˥ e˩ ɔ˦a˥tsi˩˧ beʔ˧ tsiaʔ˧ tsin˩tsiŋ˧˥ ai˨ koʔ˧ tsa˩˧tsit˧e˦.
花是你送的乎？免歹勢啦！	hue˧ si˦ li˥ saŋ˨e˩hõʔ˧? bian˥ pʰãĩ˥se˨laʔ˧!
囡仔	gn˥a˥
抿仔	bin˥a˥
大伯仔	tua˧peʔ˧a˥
土匪仔	tʰɔ˥hui˥a˥
警察仔	kiŋ˥tsʰata˥
姨仔	i˩a˥
舅仔	ku˦a˥
小叔仔	sio˥tsika˥
邊仔	pĩ˧a˥
尾仔	bue˥a˥
今仔日	kin˧a˥dzit˩
邱仔罔舍	kʰu˧a˥boŋ˥sia˨
翁仔某	aŋ˧a˥bɔ˥
爸仔囝	pe˦a˥kĩã˥
三仔五	sã˧a˥gɔ˦
小可仔	sio˥kʰua˥a˥
一點仔	tsit˧tiam˥a˥
舊舊仔	ku˦ku˦a˥
少少仔	tsio˥tsio˥a˥
久久仔	ku˥ku˥a˥
笑笑仔	tsʰio˩tsʰio˩a˥
明仔	biŋ˩a˥
嫂仔	so˥a˥
仕途	su˦tɔ˩
出仕	tsʰutsu˦
紅仕	aŋ˩su˦
交付	kau˧hu˨
付錢	hu˨ tsi˧˥˧
求仙	kiu˩ sian˧
八仙過海	pat˧sian˧ kue˨hai˥
相命仙	sioŋ˨mia˦sian˧
王祿仔仙	oŋ˩lo˧̍ka˥sian˧
酒仙	tsiu˥sian˧
仙講都毋聽。	sian˧ koŋ˥ to˧ m̄ tʰĩã˧.
仙都毋通做歹囝。	sian˧ to˧ m̄tʰaŋ˧ tso˩ pʰãĩ˥kĩã˥.
一仙錢	tsit˧ sian˥ tsi˧˥˧
仝款	kaŋ˦kʰuan˥
無仝	bo˩ kaŋ˦
時代	si˩tai˦
現代	hian˦tai˦
第二代	te˦dzi˦ tai˦
第三代	te˦sã˧ te˦
後代	au˦te˦
代誌	tai˦tsi˩
可憐代	kʰo˥lian˩tai˦
召集令	tiau˨tsip˧liŋ˦
夏令時間	ha˦liŋ˦ si˩kan˧
時令	si˩liŋ˦
令尊	liŋ˦tsun
令堂	liŋ˦toŋ˩
以你的經驗來看，這件代誌是按怎發生的？	i˥ li˥ e˩ kiŋ˧gam˦ lai˩ kʰuã˨, tsit kĩã˦ tai˦tsi˩ si˦ an˥tsua˥˧ huat˧siŋ˧e˩?
新店溪以南	sin˧tiam˨kʰe˧ i˥ lam˩
三千以上	sã˧tsʰiŋ i˥sioŋ˦
大兄	tua˧hĩã˧
表兄	piau˥hĩã˧
李兄	li˥ hĩã˧
冊皮	tsʰeʔpʰue˩
冊店	tsʰeʔtiam˨
買冊	be˥ tsʰeʔ
第一冊	te˦it˧ tsʰeʔ
仙人拍鼓有時錯，跤步踏差啥人無？	sian˧dzin˩ pʰaʔ˧ kɔ˥ iu˥ si˩ tsʰo˩, kʰa˧pɔ˦ ta˧̍htsʰa sĩã˥laŋ˩ bo˩?
伊媠甲若仙女。	i˧ sui˥ kaʔ˧ na˥ sian˧li˥.
伊的病哪會好甲遐爾仔緊？敢是去食著仙丹？	i˧ e˩ pẽ˦ na˥ e˦ ho˥ kaʔ˧ hiaʔ˧ni˦a˥ kin˥? kam˥si˦ kʰi˨ tsiaʔ˧tioʔ˩ sian˧tan˧?
你想欲判我的罪，著愛有充分的證據。	li˥ sĩũ˦beʔ˧ pʰuã˨ gua˥ e˩ tsue˧, tioʔ˩ai˨ u˧ tsʰiɔŋhun˧ e˩ tsiŋ˩ki˨.
這種餅世代相傳已經規百年矣。	tsit tsiɔŋ˥ pĩã˥ se˨tai˦ sioŋ˧tʰuan˩ i˥kiŋ˧ kui˧ paʔ˧ ni˩aʔ˧.
代先明呼明唱，才袂後日仔毋認數。	tai˦siŋ˧ biŋ˩hɔ˧ biŋ˩tsʰiaŋ˩, tsiaʔ be˦ au˦dzit˩a˥ m̄ dzin˦siau˨.
你做代先。	li˥ tso˩ tai˦siŋ˧.
拄著危險，伊攏走代先。	tu˥tioʔ˩ gui˩hiam˥, i˧ loŋ˥ tsau˥ tai˦siŋ˧.
腦充血	nau˥tsʰiɔŋhiat˧
阮這陣兄弟已經熟似十幾冬矣。	guan˥ tsit tin˦ hĩã˧ti˦ i˥kiŋ˧ si˧̍ksai˦ tsap˧kui˥ taŋ˧aʔ˧.
今仔日佇西門町有一陣兄弟咧捙拚。	kin˧a˥dzit˩ ti˦ se˧mn̩˩tiŋ˧ u˧ tsit˧ tin˦ hĩã˧ti˦ teʔ˧ tsʰiapĩã˨.
今年的雨水真充足，稻仔結了誠飽穗。	kin˧ni˩ e˩ hɔ˦tsui˥ tsin tsʰiɔŋtsiok, tiu˦a˥ kiat˧ liau˥ tsia˧˥˧ pa˥sui˦.
世事亂紛紛。	se˨su˦ luan˦ hun˧hun˧.
人情世事	dzin˩tsiŋ˧˥se˨su˦
彼間冊店的冊真濟。	hit˧ kiŋ˧ tsʰeʔtiam˨ e˩ tsʰeʔ tsin tse˧.
伊代表公司來開會。	i˧ tai˦piau˥ koŋ˧si˧ lai˩ kʰui˧hue˦.
明仔載以前愛共代誌做予伊好勢。	bin˩a˥tsai˩ i˥tsiŋ˧˥ ai˨ ka˦ tai˦tsi˩ tso˩ hɔ˦ i˧ ho˥se˨.
世俗人有誠濟代誌看袂開。	se˨sio˧̍klaŋ˩ u˧ tsia˧˥˧ tse˧ tai˦tsi˩ kʰuã˨ be˦ kʰui˧.
囡仔離跤手以後你就輕鬆矣。	gn˥a˥ li˦kʰa˧tsʰiu˥ i˥au˦ li˥ to˦ kʰin˧saŋ˧aʔ˧.
今仔日的會議由伊來主持。	kin˧a˥dzit˩ e˩ hue˦g˦ iu˩ i˧ lai˩ tsu˥tsʰi˧˥.
世界甜	se˨kai˨ tĩ˧
世界貴	se˨kai˨ kui˨
伊做生理會當成功主要的原因就是認真拍拚。	i˧ tso˩siŋ˧li˥ e˦taŋ˨ siŋ˩koŋ˧ tsu˥iau˨ e˩ guan˩in˧ to˦ si˦ dzin˦tsin pʰaʔ˧pĩã˨.
伊是阮兄哥。	i˧ si˦ guan˥ hĩã˧ko˧.
內山兄哥	lai˦suã˧ hĩã˧ko˧
主動的態度佮拍拚的精神是做人成功的基本條件。	tsu˥toŋ˦ e˩ tʰai˦tɔ˦ kaʔ˧ pʰaʔ˧pĩã˨ e˩ tsiŋsin˩ si˦ tso˩laŋ˩ siŋ˩koŋ˧ e˩ ki˧pun˥ tiau˩kĩã˦.
你對這件代誌有啥物主張？	li˥ tui˩ tsit kĩã˦ tai˦tsi˩ u˧ sĩã˥miʔ˧ tsu˥tĩũ˧?
我主張咱愛堅持到底，毋通妥協。	gua˥ tsu˥tĩũ˧ lan˥ ai˨ kian˧tsʰi˧˥ kau˨te˥, m̄tʰaŋ˧ tʰo˨hia˧̍p.
出家人著愛看破世情。	tsʰutke˧laŋ˩ tioʔ˩ai˨ kʰuã˨pʰua˨ se˨tsiŋ˧˥.
我今仔日無閒，公司的代誌才勞煩你代理一下。	gua˥ kin˧a˥dzit˩ bo˩iŋ˩, koŋ˧si˧ e˩ tai˦tsi˩ tsiaʔ lo˩huan˩ li˥ tai˦li˥tsit˧e˦.
這兩个皮包仔看著仝款仔仝款。	tsit nn̩˦ e˩ pʰue˩pau˧a˥ kʰuã˨ tioʔ˩ kaŋ˦kʰuan˥a˥kaŋ˦kʰuan˥.
這張批麻煩你替我代筆一下。	tsit tĩũ˧ pʰue˧ ma˩huan˩ li˥ tʰe˨ gua˥ tai˦pit˧tsit˧e˦.
世間人攏真自私，干焦知影顧家己的利益。	se˨kan˧laŋ˩ loŋ˥ tsin tsu˧su˧, kan˧na˧ tsaiĩã˥ kɔ˨ ka˧ki˦ e˩ li˦ik˧.
伊是阮兄嫂。	i˧ si˦ guan˥ hĩã˧so˥.
這層代誌予你主意就好。	tsit tsan˧˥ tai˦tsi˩ hɔ˦ li˥ tsu˥i˨ to˦ ho˥.
這是啥人的主意？	tse si˦  sĩã˥laŋ˩ e˩ tsu˥i˨?
且慢一下	tsʰia˥˧ban˦tsit˧e˦
新正年頭，規个社會充滿快樂的氣氛。	sin˧tsia˧ni˩tʰau˩, kui˧e˩ sia˦hue˦ tsʰiɔŋbuan˥ kʰuai˨lo˧̍k e˩ kʰi˨hun˧.
厝內大細項代誌攏是伊咧發落。	tsʰu˩lai˦ tua˧se˨ haŋ˦ tai˦tsi˩ loŋ˥ si˦ i˧ teʔ˧ hua˧̍tlo˧̍h.
這層代誌你會當請伊代辦。	tsit tsan˧˥ tai˦tsi˩ li˥ e˦taŋ˨ tsʰia˥˧ i˧ tai˦pan˦.
冬天	taŋ˧tʰĩ˧
冬筍	taŋ˧sun˥
一冬	tsit˧ taŋ˧
好年冬	ho˥ni˩taŋ˧
六月冬	lak˩gueʔ˩taŋ˧
凹落去	naʔ˧lo˧̍hkʰi˨
彼條路中央有一凹，你著愛較細膩咧。	hit˧ tiau˩ lɔ˦ tioŋ˧ŋ̩˧ u˧ tsit˧ naʔ˧, li˥ tioʔ˩ai˨ kʰaʔ˧ se˨dzi˦leʔ˧.
出好囝孫	tsʰut ho˥ kĩã˥sun˧
出代誌	tsʰuttai˦tsi˩
出泉	tsʰut tsua˧˥˧
出日頭	tsʰutdzit˩tʰau˩
出國	tsʰutkok˧
出社會	tsʰutsia˦hue˦
出界	tsʰutkai˨
二十出	dzi˦tsap˧tsʰut
芥菜當咧出	kua˨tsʰai˩ tŋ̩˧teʔ˧ tsʰut
遮出柳丁	tsia tsʰut liu˥tiŋ˧
出錢	tsʰuttsi˧˥˧
出菜	tsʰuttsʰai˩
出氣	tsʰutkʰui˨
出名	tsʰutmia˩
出頭	tsʰuttʰau˩
袂出得買來食	be˦tsʰuttit˧ be˥lai˩ tsiaʔ˧
出五百欲共伊買。	tsʰut gɔ˦paʔ˧ beʔ˧ ka˦ i˧ be˥.
真俗矣，莫閣出矣！	tsin sio˧̍kaʔ˧, mai˨ koʔ˧ tsʰutaʔ˧!
八出菜	peʔ˧ tsʰut tsʰai˩
這出菜真好食。	tsit tsʰut  tsʰai˩ tsin ho˥tsiaʔ˧.
伊拍拚的故事有刊佇報紙頂頭。	i˧ pʰaʔ˧pĩã˨ e˩ kɔ˨su˦ u˧ kʰan˧ ti˦ po˨tsua˥ tiŋ˥tʰau˩.
刊物	kʰan˧but˩
月刊	gueʔ˩kʰan˧
功勞	koŋ˧lo˩
功效	koŋ˧hau˦
加薦仔	ka˧tsi˩a˥
加車	ka˧tsʰia
遮的加起來攏總一百箍。	tsiae˩ ka˧kʰi˥lai˩ loŋ˥tsɔŋ˥ tsit˧paʔ˧ kʰɔ˧.
加工	ka˧kaŋ˧
加添	ka˧tʰiam˧
加倍	ka˧pue˦
寄話會加，寄物會減。	kia˨ue˧ e˦ ke˧, kia˨ mi˧̍h e˦ kiam˥.
伊加找我五十箍。	i˧ ke˧ tsau˧ gua˥ gɔ˦tsap˧ kʰɔ˧.
伊看起來加較少年。	i˧ kʰuã˨kʰi˥lai˩ ke˧ kʰaʔ˧ siau˨lian˩.
予你加無閒，真歹勢。	hɔ˦ li˥ ke˧ bo˩iŋ˩, tsin pʰãĩ˥se˨.
包水餃	pau˧ tsui˥kiau˥
包冊	pau˧ tsʰeʔ
遮的菜尾攏共包起來。	tsiae˩ tsʰai˩bue˥ loŋ˥ ka˦ pau˧kʰi˥lai˩.
包贏的	pau˧ ĩã˩e˩
一包米	tsit˧ pau˧ bi˥
藥包	io˧̍hpau˧
茶包	te˩pau˧
肉包	baʔ˧pau˧
菜包	tsʰai˩pau˧
割包	kuaʔ˧pau˧
包公	pau˧koŋ˧
服務費包在內	hok˩bu˦hui˨ pau˧ tsai˧lai˦
包機	pau˧ki˧
包伙食	pau˧ hue˥si˧̍t
北爿	pak˧piŋ˩
上北	tsiu˧˧pak˧
半數	puan˨ sɔ˨
半途	puan˨tɔ˩
一知半解	it˧ti˧puan˨kai˥
半隻	puã˨ tsiaʔ
半路	puã˨lɔ˦
半知半毋知。	puã˨ tsai puã˨ m̄ tsai.
伊卌外歲矣，看著猶真少年。	i˧ siap˧gua˦ hue˨aʔ˧, kʰuã˨ tioʔ˩ iau˥ tsin siau˨lian˩.
占位	tsiam˩ui˧
占大多數	tsiam˩ tai˦to˧sɔ˨
彼兩个囡仔咧冤家，你緊去共占。	hit˧ nn̩˦ e˩ gn˥a˥ teʔ˧ uanke˧, li˥ kin˥ kʰi˨ ka˦ tsiam˩.
信用卡	sin˨ioŋ˦kʰaʔ˧
屜仔卡牢咧！	tʰuaʔ˧a˥ kʰa˧̍htiau˩leʔ˧!
伊講欲請我食好料的，真正是卯死矣！	i˧ koŋ˥ beʔ˧ tsʰia˥˧ gua˥ tsiaʔ˧ ho˥liau˦e˩, tsintsia˩˧ si˦ bau˥si˥aʔ˧!
卯時	bau˥si˩
運途行佇卯字。	un˧tɔ˩ kĩã˩ ti˦ bau˥dzi˦.
無喙齒，只好沓沓仔卯。	bo˩ tsʰui˩kʰi˥, tsi˥ho˥ ta˧̍uhta˧̍uha˥ mauʔ˧.
喙卯卯	tsʰui˩ mauʔ˧mauʔ˧
去日本	kʰi˨ dzit˩pun˥
去食飯	kʰi˨ tsiaʔ˧pŋ̩˦
有去無回	u˧ kʰi˨ bo˩ hue˩
伊舊年就去矣。	i˧ ku˦ni˩ to˦ kʰi˨aʔ˧.
去了了矣！	kʰi˨liau˥liau˥aʔ˧!
傷濟，我做袂去。	sĩũ˧ tse˧, gua˥ tso˩ be˦ kʰi˨.
予伊食去。	hɔ˦ i˧ tsiaʔ˧kʰi˨.
走去矣	tsau˥kʰi˨aʔ˧
買這領衫去掉一千箍。	be˥ tsit nia˥ sã˧ kʰi˨tiau˦ tsit˧tsʰiŋ kʰɔ˧.
去傷改鬱	kʰi˨sioŋ˧kai˥ut
去垃儳	kʰi˨ la˩sam˩
古早時代	kɔ˥tsa˥ si˩tai˦
講古	koŋ˥kɔ˥
懷古	huai˩kɔ˥
這種物件傷古啦！	tsit tsiɔŋ˥ mi˧̍hkĩã˦ sĩũ˧ kɔ˥laʔ˧!
疑問句	g˩bun˦ku˨
有鬥句	u˧ tau˨ku˨
一句話	tsit˧ ku˨ ue˧
鵝仔會共人叨。	go˩a˥ e˦ ka˦ laŋ˩ lo˧.
叨錢	lo˧ tsi˧˥˧
叩頭	kʰau˨tʰau˩
只有	tsi˥u˧
只不過	tsi˥put˧ko˨
一只衛生紙	tsit˧ tsi˥ ue˧siŋ˧tsua˥
大聲叫	tua˧sĩã˧ kio˨
先生咧叫你。	sian˧sĩ˧ teʔ˧ kio˨li˥.
校長叫伊去校長室。	hau˦tĩũ˥ kio˨ i˧ kʰi˨ hau˦tĩũ˥sik˧.
叫車	kio˨ tsʰia
叫菜	kio˨ tsʰai˩
你叫啥物名？	li˥ kio˨ sĩã˥miʔ˧ mia˩?
你愛叫伊阿姑。	li˥ ai˨ kio˨ i˧ a˧kɔ˧.
你愛閣共伊小叮一下，伊才會記得。	li˥ ai˨ koʔ˧ ka˦ i˧ sio˥ tiŋ˧tsit˧e˦, i˧ tsiaʔ e˦ki˨tit˧.
我予蠓仔叮著。	gua˥ hɔ˦ baŋ˥a˥ tiŋ˨tioʔ˩.
伊不時予頭家叮。	i˧ put˧si˩ hɔ˦ tʰau˩ke˧ tiŋ˨.
可以	kʰo˥i˥
可見	kʰo˥kian˨
可能	kʰo˥liŋ˩
舞台	bu˥tai˩
鏡台	kĩã˨tai˩
電視台	tian˦si˦tai˩
一台電視	tsit˧ tai˩ tian˦si˦
一台車	tsit˧ tai˩ tsʰia
囚禁	siu˩kim˨
舊囚食新囚。	ku˦ siu˩ tsiaʔ˧ sin˧ siu˩.
四个人	si˨ e˩ laŋ˩
四書五經	su˨ su˧ ŋɔ˥ kiŋ˧
外口	gua˦kʰau˥
放外外	paŋ˨gua˦gua˦
五十外歲	gɔ˦tsap˧gua˦ hue˨
外國	gua˦kok˧
外交	gua˦kau˧
央人寫批	iaŋ˧ laŋ˩ sia˥ pʰue˧
較早的人感覺出丁是福氣。	kʰaʔ˧tsa˥ e˩ laŋ˩ kam˥kak˧ tsʰuttiŋ˧ si˦ hok˧kʰi˨.
出入愛細膩。	tsʰutdzip˩ ai˨ se˨dzi˦.
伊所講的佮事實有真大的出入。	i˧ sɔ˥ koŋ˥e˩ kaʔ˧ su˦si˧̍t u˧ tsin tua˧ e˩ tsʰutdzip˩.
出力共拍落去。	tsʰutlat˩ ka˦ pʰaʔ˧lo˧̍hkʰi˨.
阿姨毋是外人，你講，無要緊。	a˧i˩ m̄ si˦ gua˦laŋ˩, li˥ koŋ˥, bo˩ iau˨kin˥.
這是咱這組的問題，莫共外人牽拖入來。	tse si˦ lan˥ tsit tsɔ e˩ bun˦te˩, mai˨ ka˦ gua˦laŋ˩ kʰan˧tʰua˧dzip˩lai˩.
規个家伙攏去了了矣。	kui˧e˩ ke˧hue˥ loŋ˥ kʰi˨liau˥liau˥aʔ˧.
王的後日欲出山。	oŋ˩e˩ au˦dzit˩ beʔ˧ tsʰutsuã˧.
你做按呢就會使矣，毋免閣加工啦！	li˥ tso˩ an˥ne˧ to˦ e˦sai˥aʔ˧, m̄bian˥ koʔ˧ ke˧kaŋ˧laʔ˧!
囝婿是半子。	kĩã˥sai˨ si˦ puan˨tsu˥.
我明仔載欲請半工的假。	gua˥ bin˩a˥tsai˩ beʔ˧ tsʰiŋ˥ puã˨kaŋ˧ e˩ ka˥.
伊拄才對外口轉來。	i˧ tu˥tsiaʔ tui˩ gua˦kʰau˥ tŋ̩˥lai˩.
伊驚一下半小死。	i˧ kĩã˧ tsit˧e˦ puã˨sio˥si˥.
伊才退伍無偌久，就央三託四欲揣頭路。	i˧ tsiaʔ tʰe˨ŋɔ˥ bo˩gua˦ku˥, to˦ iaŋ˧sã˧tʰok˧si˨ beʔ˧ tsʰue˧ tʰau˩lɔ˦.
代誌做到半中站，袂使喝停就停。	tai˦tsi˩ tso˩ kau˨ puã˨ tioŋ˧tsam˧, be˦sai˥ huaʔ˧ tʰiŋ˩ to˦ tʰiŋ˩.
伊竟然敢出手拍我。	i˧ kiŋ˨dzian˩ kã˥ tsʰuttsʰiu˥ pʰaʔ˧gua˥.
價錢遮懸你若毋出手，將來一定會反悔。	ke˨tsi˧˥˧ tsiaʔ kuan˩ li˥ na˦ m̄ tsʰuttsʰiu˥, tsiɔŋlai˩ it˧tiŋ˦ e˦ huan˥hue˥.
伊出手真大方。	i˧ tsʰuttsʰiu˥ tsin tai˦hoŋ˧.
阮阿公耍股票輸了了，煞拍我出水。	guan˥ a˧koŋ˧ sŋ̩˥ kɔ˥pʰio˨ su˧liau˥liau˥, suaʔ˧ pʰaʔ˧ gua˥ tsʰuttsui˥.
另日咱才做伙食飯。	liŋ˦dzit˩ lan˥ tsiaʔ tso˩hue˥ tsiaʔ˧pŋ̩˦.
伊可比一隻予人關佇籠仔內的鳥仔。	i˧ kʰo˥pi˥ tsit˧ tsiaʔ hɔ˦ laŋ˩ kuãĩ˧ ti˦ laŋ˩a˥lai˦ e˩ tsiau˥a˥.
闊喙食四方	kʰuaʔ˧tsʰui˩ tsiaʔ˧ si˨hŋ̩˧
拍甲予你叫毋敢。	pʰaʔ˧ kaʔ˧ hɔ˦ li˥ kio˨m̄kã˥.
彼間厝的四爿攏是山。	hit˧ kiŋ˧ tsʰu˩ e˩ si˨piŋ˩ loŋ˥ si˦ suã˧.
我佇臺灣出世的。	gua˥ ti˦ tai˩uan˧˥ tsʰutsi˨e˩.
阮阿公的冊房內底有真濟古冊。	guan˥ a˧koŋ˧ e˩ tsʰeʔpaŋ˩ lai˦te˥ u˧ tsin tse˧ kɔ˥tsʰeʔ.
彼本古冊誠好看。	hit˧ pun˥ kɔ˥tsʰeʔ tsia˧˥˧ ho˥kʰuã˨.
這攤生理若予做會成，就聽好食半世人矣。	tsit tʰuã˧ siŋ˧li˥ na˦ hɔ˦ tso˩ e˦ siŋ˩, to˦ tʰiŋ˨ho˥ tsiaʔ˧ puã˨si˨laŋ˩aʔ˧.
出外家己愛較細膩咧。	tsʰutgua˦ ka˧ki˦ ai˨ kʰaʔ˧ se˨dzi˦leʔ˧.
敢閣有另外的人欲來？	kam˥ koʔ˧ u˧ liŋ˦gua˦ e˩ laŋ˩ beʔ˧ lai˩?
你想講激外外就無代誌矣是無？	li˥ sĩũ˦koŋ˥ kik˧gua˦gua˦ to˦ bo˩ tai˦tsi˩aʔ˧ si˦bo˩?
逐字都寫甲真四正。	ta˧̍k dzi˦ to˧ sia˥ kaʔ˧ tsin si˨tsia˩˧.
這盤雞肉半生熟，毋通食。	tsit puã˩ ke˧baʔ˧ puã˨tsʰe˧si˧̍k, m̄tʰaŋ˧ tsiaʔ˧.
日月潭是一个真出名的風景區。	dzit˩guat˩tʰam˩ si˦ tsit˧ e˩ tsin tsʰutmia˩ e˩ hoŋ˧kiŋ˥kʰu˧.
閣等一下啦！連鞭就欲出帆矣。	koʔ˧ tan˥tsit˧e˦laʔ˧! liam˩mi˧ to˦ beʔ˧ tsʰutpʰaŋ˩aʔ˧.
出業揣無頭路，只好暫時去做臨時工。	tsʰutgap˩ tsʰue˧bo˩ tʰau˩lɔ˦, tsi˥ho˥ tsiam˧si˩ kʰi˨ tso˩ lim˩si˩kaŋ˧.
這聲你真正卯死矣。	tsitsĩã˧ li˥ tsintsia˩˧ bau˥si˥aʔ˧.
專業的代誌外行的做袂來。	tsuangap˩ e˩ tai˦tsi˩ gua˦haŋ˩e˩ tso˩ be˦ lai˩.
我毋是本地人，我是外位搬來的。	gua˥ m̄ si˦ pun˥te˦laŋ˩, gua˥ si˦ gua˦ui˧ puã˧lai˩e˩.
代誌做了真四序。	tai˦tsi˩ tso˩ liau˥ tsin su˨si˦.
你去買一寡四秀仔來啖糝一下。	li˥ kʰi˨ be˥ tsit˧kua˥ si˨siu˨a˥ lai˩ tam˦sam˥tsit˧e˦.
你敢知影伊的出身？	li˥ kam˥ tsaiĩã˥ i˧ e˩ tsʰutsin˧?
頂半身	tiŋ˥puã˨sin˧
下半身	e˦puã˨sin˧
你去叫伊出來。	li˥ kʰi˨ kio˨ i˧ tsʰutlai˩.
伊共所有的代誌攏講出來矣。	i˧ ka˦ sɔ˥u˧ e˩ tai˦tsi˩ loŋ˥ koŋ˥tsʰutlai˩aʔ˧.
咱著愛綴會著社會的改變，毋通傷古板！	lan˥ tioʔ˩ai˨ tue˩ e˦ tioʔ˩ sia˦hue˦ e˩ kai˥pian˨, m̄tʰaŋ˧ sĩũ˧ kɔ˥pan˥!
四物仔雞	su˨but˩a˥ke˧
代誌按呢一直吊佇半空中嘛毋是辦法。	tai˦tsi˩ an˥ne˧ it˧ti˧̍t tiau˨ ti˦ puã˨kʰoŋ˧tioŋ˧ ma˦ m̄ si˦ pan˦huat˧.
我雄雄感覺跤痠手軟，四肢無力。	gua˥ hioŋ˩hioŋ˩ kam˥kak˧ kʰa˧sŋ̩˧tsʰiu˥nŋ̩˥, su˨ki˧ bo˩lat˩.
你幾點欲出門？	li˥ kui˥ tiam˥ beʔ˧ tsʰutmn̩˩?
有人咧叫門，你去看是啥物人？	u˧ laŋ˩ teʔ˧ kio˨mn̩˩, li˥ kʰi˨ kʰuã˨ si˦ sĩã˥miʔ˧laŋ˩?
車頭附近有真濟叫客的計程車。	tsʰiatʰau˩ hu˨kin˦ u˧ tsin tse˧ kio˨kʰeʔ˧ e˩ ke˨tʰiŋ˩tsʰia.
只是一屑仔小意思爾爾。	tsi˥si˦ tsit˧sut˧a˥ sio˥ i˨su˨ nia˦nia˦.
我叫是你欲走矣，毋才無共你招。	gua˥ kio˨si˦ li˥ beʔ˧ tsau˥aʔ˧, m̄tsiaʔ bo˩ ka˦ li˥ tsio.
四界走	si˨ke˨ tsau˥
你毋通四界趖。	li˥ m̄tʰaŋ˧ si˨ke˨so˩.
叫苦連天	kio˨kʰɔ˥lian˩tʰian˧
只要有你，代誌就會成功。	tsi˥iau˨ u˧ li˥, tai˦tsi˩ to˦ e˦ siŋ˩koŋ˧.
外口真寒，你愛加疊一領外衫。	gua˦kʰau˥ tsin kuã˩, li˥ ai˨ ke˧ tʰaʔ˩ tsit˧ nia˥ gua˦sã˧.
三叩首	sam˧ kʰio˨siu˥
遮四面攏是山，環境真好。	tsia si˨bin˦ loŋ˥ si˦ suã˧, kʰuan˩kiŋ˥ tsin ho˥.
伊上愛出風頭。	i˧ sioŋ˦ ai˨ tsʰuthoŋ˧tʰau˩.
你若共錢借我，我會加倍還你。	li˥ na˦ ka˦ tsi˧˥˧ tsioʔgua˥, gua˥ e˦ ka˧pue˦ hiŋ˩li˥.
伊連鞭就會出師矣！	i˧ liam˩mi˧ to˦ e˦ tsʰutsai˧aʔ˧!
阮某轉去外家矣。	guan˥ bɔ˥ tŋ̩˥kʰi˨ gua˦ke˧aʔ˧.
你若欲做研究，我遮有一寡古書會用得借你。	li˥ na˦ beʔ˧ tso˩ gan˥kiu˨, gua˥ tsia u˧ tsit˧kua˥ kɔ˥tsu e˦iŋ˦tit˧ tsioʔli˥.
伊定定拍我出氣。	i˧ tĩã˦tĩã˦ pʰaʔ˧ gua˥ tsʰutkʰui˨.
名聲迵四海。	mia˩sĩã˧ tʰaŋ˨ su˨hai˥.
出珠的人毋通四界走，才袂去共人穢著。	tsʰuttsu e˩ laŋ˩ m̄tʰaŋ˧ si˨ke˨ tsau˥, tsiaʔ be˦ kʰi˨ ka˦ laŋ˩ ue˩tioʔ˩.
伊可能袂來矣。	i˧ kʰo˥liŋ˩ be˦ lai˩aʔ˧.
有這款可能。	u˧ tsit kʰuan˥ kʰo˥liŋ˩.
伊昨暗出酒，到今猶咧艱苦。	i˧ tsaam˨ tsʰuttsiu˥, kau˨tã˧ iau˥ teʔ˧ kan˧kʰɔ˥.
咱國家的元首叫做總統。	lan˥ kok˧ka˧ e˩ guan˩siu˥ kio˨tso˩ tsɔŋ˥tʰoŋ˥.
我四常去圖書館查資料。	gua˥ su˨sioŋ˩ kʰi˨ tɔ˩su˧kuan˥ tsʰa˧˥ tsuliau˦.
誠可惜！這擺的比賽無提著冠軍。	tsia˧˥˧ kʰo˥sioʔ˧! tsit pai˥ e˩ pi˥sai˨ bo˩ tʰe˧̍htioʔ˩ kuan˧kun˧.
我等你規半晡矣。	gua˥ tan˥ li˥ kui˧puã˨pɔ˧aʔ˧.
伊只不過是一个半桶屎爾爾。	i˧ tsi˥put˧ko˨ si˦ tsit˧ e˩ puã˨tʰaŋ˥sai˥ nia˦nia˦.
你只不過是一个半桶師仔，有啥物好囂俳的？	li˥ tsi˥put˧ko˨ si˦ tsit˧ e˩ puã˨tʰaŋ˥sai˧a˥, u˧ sĩã˥miʔ˧ ho˥ hiau˧pai˧e˩?
彼幾片彩雲加添黃昏的美麗。	hit˧ kui˥ pʰĩ˨ tsʰai˥hun˩ ka˧tʰiam˧ hoŋ˩hun˧ e˩ bi˥le˦.
伊哭甲目屎四淋垂。	i˧ kʰau˨ kaʔ˧ bak˩sai˥ si˨lam˩sui˩.
屏東的高樹出產棗仔。	pin˩toŋ˧ e˩ ko˧tsʰiu˧ tsʰutsan˥ tso˥a˥.
做人愛認真拍拚，才會有出脫。	tso˩laŋ˩ ai˨ dzin˦tsin pʰaʔ˧pĩã˨, tsiaʔ e˦ u˧ tsʰuttʰuat˧.
