а	a
граничих	ɡrɐnitʃix
граничиха	ɡrɐnitʃixɐ
граничихме	ɡrɐnitʃixmɛ
граничихте	ɡrɐnitʃixtɛ
граничиш	ɡrɐnitʃiʃ
грапав	ɡrapɐf
граф	ɡraf
графиня	ɡrɐfinʲɐ
графичен	ɡrafitʃɛn
графичен	ɡrɐfitʃɛn
графология	ɡrɐfoɫɔɡijɐ
грах	ɡrax
грач	ɡratʃ
греба	ɡrɛbɐ
греба	ɡrɛbɤ
гребал	ɡrɛbɐɫ
гребала	ɡrɛbɐɫɐ
гребалата	ɡrɛbɐɫɐtɐ
гребали	ɡrɛbɐli
гребалите	ɡrɛbɐlitɛ
гребалия	ɡrɛbɐlijɐ
гребалият	ɡrɛbɐlijɐt
гребало	ɡrɛbɐɫo
гребалото	ɡrɛbɐɫoto
гребан	ɡrɛbɐn
гребана	ɡrɛbɐnɐ
гребаната	ɡrɛbɐnɐtɐ
гребане	ɡrɛbɐnɛ
гребанета	ɡrɛbɐnɛtɐ
гребанетата	ɡrɛbɐnɛtɐtɐ
гребането	ɡrɛbɐnɛto
гребани	ɡrɛbɐni
гребаните	ɡrɛbɐnitɛ
гребания	ɡrɛbɐnijɐ
гребаният	ɡrɛbɐnijɐt
гребанията	ɡrɛbɐnijɐtɐ
гребано	ɡrɛbɐno
гребаното	ɡrɛbɐnoto
гребат	ɡrɛbɤt
гребах	ɡrɛbɐx
гребаха	ɡrɛbɐxɐ
гребахме	ɡrɛbɐxmɛ
гребахте	ɡrɛbɐxtɛ
гребе	ɡrɛbɛ
гребейки	ɡrɛbɛjki
гребели	ɡrɛbɛli
гребем	ɡrɛbɛm
гребен	ɡrɛbɛn
гребете	ɡrɛbɛtɛ
гребеш	ɡrɛbɛʃ
гребеше	ɡrɛbɛʃɛ
греби	ɡrɛbi
гребял	ɡrɛbʲa̟ɫ
гребяла	ɡrɛbʲa̟ɫɐ
гребяло	ɡrɛbʲa̟ɫo
гребях	ɡrɛbʲa̟x
гребяха	ɡrɛbʲa̟xɐ
гребяхме	ɡrɛbʲa̟xmɛ
гребяхте	ɡrɛbʲa̟xtɛ
гребящ	ɡrɛbʲa̟ʃt
гребяща	ɡrɛbʲa̟ʃtɐ
гребящата	ɡrɛbʲa̟ʃtɐtɐ
гребящи	ɡrɛbʲa̟ʃti
гребящите	ɡrɛbʲa̟ʃtitɛ
гребящия	ɡrɛbʲa̟ʃtijɐ
гребящият	ɡrɛbʲa̟ʃtijɐt
гребящо	ɡrɛbʲa̟ʃto
гребящото	ɡrɛbʲa̟ʃtoto
греда	ɡrɛda
гредам	ɡrɛdɐm
грездей	ɡrɛzdɛj
грезен	ɡrɛzɛn
грендзам	ɡrɛnzdɐm
гренландец	ɡrɛnɫandɛts
гренландка	ɡrɛnɫantkɐ
грехна	ɡrɛxnɐ
греша	ɡrɛʃɤ̟
грешен	ɡrɛʃɛn
грешка	ɡrɛʃkɐ
грея	ɡrɛjɐ
грив	ɡrif
грива	ɡrivɐ
гривек	ɡrivɛk
гривеци	ɡrivɛtsi
гривица	ɡrivitsɐ
гривици	ɡrivitsi
гривяк	ɡrivʲɐk
гривяци	ɡrivʲɐtsi
грижа	ɡriʒɐ
грижлив	ɡriʒlif
гриза	ɡrizɐ
гриза	ɡrizɤ
гризал	ɡrizɐɫ
гризала	ɡrizɐɫɐ
гризалата	ɡrizɐɫɐtɐ
гризали	ɡrizɐli
гризалите	ɡrizɐlitɛ
гризалия	ɡrizɐlijɐ
гризалият	ɡrizɐlijɐt
гризало	ɡrizɐɫo
гризалото	ɡrizɐɫoto
гризан	ɡrizan
гризана	ɡrizanɐ
гризаната	ɡrizanɐtɐ
гризане	ɡrizanɛ
гризанета	ɡrizanɛtɐ
гризанетата	ɡrizanɛtɐtɐ
гризането	ɡrizanɛto
гризани	ɡrizani
гризаните	ɡrizanitɛ
гризания	ɡrizanijɐ
гризаният	ɡrizanijɐt
гризанията	ɡrizanijɐtɐ
гризано	ɡrizano
гризаното	ɡrizanoto
гризат	ɡrizɤt
гризах	ɡrizɐx
гризаха	ɡrizɐxɐ
гризахме	ɡrizɐxmɛ
гризахте	ɡrizɐxtɛ
гризач	ɡrizatʃ
гризе	ɡrizɛ
гризейки	ɡrizɛjki
гризели	ɡrizɛli
гризем	ɡrizɛm
гризете	ɡrizɛtɛ
гризеш	ɡrizɛʃ
гризеше	ɡrizɛʃɛ
гризи	ɡrizi
гризял	ɡrizʲa̟ɫ
гризяла	ɡrizʲa̟ɫɐ
гризяло	ɡrizʲa̟ɫo
гризях	ɡrizʲa̟x
гризяха	ɡrizʲa̟xɐ
гризяхме	ɡrizʲa̟xmɛ
гризяхте	ɡrizʲa̟xtɛ
гризящ	ɡrizʲa̟ʃt
гризяща	ɡrizʲa̟ʃtɐ
гризящата	ɡrizʲa̟ʃtɐtɐ
гризящи	ɡrizʲa̟ʃti
гризящите	ɡrizʲa̟ʃtitɛ
гризящия	ɡrizʲa̟ʃtijɐ
гризящият	ɡrizʲa̟ʃtijɐt
гризящо	ɡrizʲa̟ʃto
гризящото	ɡrizʲa̟ʃtoto
грим	ɡrim
грифон	ɡrifɔn
гроб	ɡrɔp
гробар	ɡrobar
гробище	ɡrɔbiʃtɛ
гроза	ɡroza
грозде	ɡrɔzdɛ
грозен	ɡrɔzɛn
грозя	ɡrozʲɤ̟
гропа	ɡrɔpɐ
гротескност	ɡrotɛsknost
грохам	ɡrɔxɐm
грохот	ɡrɔxot
груб	ɡrup
грузински	ɡrozinski
група	ɡrupɐ
грухам	ɡruxɐm
грухтя	ɡroxtʲa̟
гръб	ɡrɤp
гръбнак	ɡrɐbnak
гръд	ɡrɤt
гръден	ɡrɤdɛn
гръзда	ɡrɤzdɐ
гръздав	ɡrɤzdɐf
грък	ɡrɤk
гръклян	ɡrɐklʲa̟n
гръклянов	ɡrɐklʲa̟nof
гръм	ɡrɤm
гръмот	ɡrɤmot
гръмък	ɡrɤmɐk
грънци	ɡrɤntsi
грънчарница	ɡrɐntʃa̟rnitsɐ
гръста	ɡrɤstɐ
гръцки	ɡrɤtski
грях	ɡrʲa̟x
губейки	ɡubɛjki
губел	ɡubɛɫ
губела	ɡubɛɫɐ
губели	ɡubɛli
губело	ɡubɛɫo
губен	ɡubɛn
губена	ɡubɛnɐ
губената	ɡubɛnɐtɐ
губене	ɡubɛnɛ
губенета	ɡubɛnɛtɐ
губенетата	ɡubɛnɛtɐtɐ
губенето	ɡubɛnɛto
губени	ɡubɛni
губените	ɡubɛnitɛ
губения	ɡubɛnijɐ
губеният	ɡubɛnijɐt
губенията	ɡubɛnijɐtɐ
губено	ɡubɛno
губеното	ɡubɛnoto
губер	ɡubɛr
губете	ɡobɛtɛ
губех	ɡubɛx
губеха	ɡubɛxɐ
губехме	ɡubɛxmɛ
губехте	ɡubɛxtɛ
губеше	ɡubɛʃɛ
губещ	ɡubɛʃt
губеща	ɡubɛʃtɐ
губещата	ɡubɛʃtɐtɐ
губещи	ɡubɛʃti
губещите	ɡubɛʃtitɛ
губещия	ɡubɛʃtijɐ
губещият	ɡubɛʃtijɐt
губещо	ɡubɛʃto
губещото	ɡubɛʃtoto
губи	ɡobi
губи	ɡubi
губил	ɡobiɫ
губил	ɡubiɫ
губила	ɡobiɫɐ
губила	ɡubiɫɐ
губилата	ɡobiɫɐtɐ
губилата	ɡubiɫɐtɐ
губили	ɡobili
губили	ɡubili
губилите	ɡobilitɛ
губилите	ɡubilitɛ
губилия	ɡobilijɐ
губилия	ɡubilijɐ
губилият	ɡobilijɐt
губилият	ɡubilijɐt
губило	ɡobiɫo
губило	ɡubiɫo
губилото	ɡobiɫoto
губилото	ɡubiɫoto
губим	ɡubim
губите	ɡubitɛ
губих	ɡobix
губих	ɡubix
губиха	ɡobixɐ
губиха	ɡubixɐ
губихме	ɡobixmɛ
губихме	ɡubixmɛ
губихте	ɡobixtɛ
губихте	ɡubixtɛ
губиш	ɡubiʃ
губя	ɡubʲɐ
губят	ɡubʲɐt
гугутка	ɡoɡutkɐ
гуда	ɡudɐ
гуде	ɡudɛ
гуждам	ɡuʒdɐm
гузен	ɡuzɛn
гулия	ɡolijɐ
гуляи	ɡolʲa̟i
гуляй	ɡolʲa̟j
гуляя	ɡolʲa̟jɐ
гума	ɡumɐ
гумно	ɡumno
гуна	ɡunɐ
гурам	ɡurɐm
гурбет	ɡorbɛt
гургулица	ɡorɡolitsɐ
гурел	ɡurɛɫ
гурели	ɡurɛli
гуркам	ɡurkɐm
гусла	ɡusɫɐ
гута	ɡutɐ
гуша	ɡuʃɐ
гущер	ɡuʃtɛr
гуя	ɡujɐ
гъба	ɡɤbɐ
гъвкав	ɡɤfkɐf
гъвък	ɡɤvɐk
гъгрица	ɡɐɡritsɐ
гъдел	ɡɤdɛɫ
гъделичкам	ɡɐdɛlitʃkɐm
гъдувам	ɡɐduvɐm
гъдулар	ɡɐdoɫar
гъдулка	ɡɐduɫkɐ
гъдулчица	ɡɐduɫtʃitsɐ
гъдя	ɡɤdʲɐ
гъжва	ɡɤʒvɐ
гъз	ɡɤs
гълтам	ɡɤɫtɐm
гълчава	ɡɐɫtʃa̟vɐ
гълъб	ɡɤɫɐp
гълъбица	ɡɐɫɐbitsɐ
гъмза	ɡɤmzɐ
гъна	ɡɐna
гъна	ɡɤnɐ
гънчам	ɡɤntʃɐm
гърбав	ɡɐrbaf
гърбат	ɡɐrbat
гърбач	ɡɐrbatʃ
гърбина	ɡɐrbinɐ
гърбица	ɡɤrbitsɐ
гърда	ɡɐrda
гърдест	ɡɤrdɛst
гъркиня	ɡɐrkinʲɐ
гърлест	ɡɤrlɛst
гърлица	ɡɤrlitsɐ
гърло	ɡɤrɫo
гърмеж	ɡɐrmɛʃ
гърне	ɡɐrnɛ
гърци	ɡɤrtsi
гърцизъм	ɡɐrtsizɐm
гърч	ɡɤrtʃ
гъсеница	ɡɐsɛnitsɐ
гъска	ɡɤskɐ
гъсок	ɡɐsɔk
гъст	ɡɤst
гъстак	ɡɐstak
гъсталак	ɡɐstɐɫak
гътам	ɡɤtɐm
гъч	ɡɤtʃ
гьозум	ɡʲɔzom
гьон	ɡʲɔn
гюрултия	ɡʲo̟roɫtijɐ
гюрюлтия	ɡʲo̟rʲo̟ɫtijɐ
гяур	ɡʲɐur
гяурин	ɡʲɐurin
д	d
д	dɛ
д	dɤ
д'еба	dɛbɐ
да	da
да	dɐ
дава	davɐ
дава	dɐva
давай	davɐj
давайки	davɐjki
давайте	davɐjtɛ
давал	davɐɫ
давал	dɐvaɫ
давала	davɐɫɐ
давала	dɐvaɫɐ
давалата	davɐɫɐtɐ
давалата	dɐvaɫɐtɐ
давали	davɐli
давали	dɐvali
давалите	davɐlitɛ
давалите	dɐvalitɛ
давалия	davɐlijɐ
давалия	dɐvalijɐ
давалият	davɐlijɐt
давалият	dɐvalijɐt
давало	davɐɫo
давало	dɐvaɫo
давалото	davɐɫoto
давалото	dɐvaɫoto
давам	davɐm
даваме	davɐmɛ
даван	davɐn
давана	davɐnɐ
даваната	davɐnɐtɐ
даване	davɐnɛ
даванета	davɐnɛtɐ
даванетата	davɐnɛtɐtɐ
даването	davɐnɛto
давани	davɐni
даваните	davɐnitɛ
давания	davɐnijɐ
даваният	davɐnijɐt
даванията	davɐnijɐtɐ
давано	davɐno
даваното	davɐnoto
дават	davɐt
давате	davɐtɛ
давах	davɐx
давах	dɐvax
даваха	davɐxɐ
даваха	dɐvaxɐ
давахме	davɐxmɛ
давахме	dɐvaxmɛ
давахте	davɐxtɛ
давахте	dɐvaxtɛ
давач	dɐvatʃ
даваш	davɐʃ
даваше	davɐʃɛ
даващ	davɐʃt
даваща	davɐʃtɐ
даващата	davɐʃtɐtɐ
даващи	davɐʃti
даващите	davɐʃtitɛ
даващия	davɐʃtijɐ
даващият	davɐʃtijɐt
даващо	davɐʃto
даващото	davɐʃtoto
давш	dafʃ
давя	davʲɐ
дадат	dɐdɤt
даде	dadɛ
даде	dɐdɛ
дадели	dɐdɛli
дадем	dɐdɛm
даден	dadɛn
дадена	dadɛnɐ
дадената	dadɛnɐtɐ
дадени	dadɛni
дадените	dadɛnitɛ
дадения	dadɛnijɐ
даденият	dadɛnijɐt
дадено	dadɛno
даденото	dadɛnoto
дадете	dɐdɛtɛ
дадеш	dɐdɛʃ
дадеше	dɐdɛʃɛ
дадох	dadox
дадоха	dadoxɐ
дадохме	dadoxmɛ
дадохте	dadoxtɛ
дадял	dɐdʲa̟ɫ
дадяла	dɐdʲa̟ɫɐ
дадяло	dɐdʲa̟ɫo
дадях	dɐdʲa̟x
дадяха	dɐdʲa̟xɐ
дадяхме	dɐdʲa̟xmɛ
дадяхте	dɐdʲa̟xtɛ
дажба	daʒbɐ
даже	daʒɛ
дай	daj
дайка	dajkɐ
дайте	dajtɛ
дал	daɫ
дала	daɫɐ
далавера	dɐɫɐvɛrɐ
далак	dɐɫak
далата	daɫɐtɐ
далеч	dɐlɛtʃ
далече	dɐlɛtʃɛ
далечен	dɐlɛtʃɛn
дали	dali
дали	dɐli
далите	dalitɛ
далия	dalijɐ
далият	dalijɐt
дало	daɫo
далото	daɫoto
дам	dam
дама	damɐ
дамаджана	dɐmɐdʒa̟nɐ
дамга	dɐmɡa
данни	danni
данък	danɐk
данъчен	danɐtʃɛn
дар	dar
дарба	darbɐ
дарвинизъм	dɐrvinizɐm
дармщатий	dɐrmʃtatij
дарчин	dɐrtʃin
датски	datski
датчик	dattʃik
дашен	daʃɛn
два	dva
двадесет	dvadɛsɛt
дваж	dvaʃ
двайсет	dvajsɛt
двама	dvamɐ
двамата	dvamɐtɐ
дванадесет	dvɐnadɛsɛt
дванайсет	dvɐnajsɛt
двата	dvatɐ
две	dvɛ
двери	dvɛri
двеста	dvɛstɐ
двете	dvɛtɛ
двигател	dviɡɐtɛɫ
движа	dviʒɐ
движение	dviʒɛniɛ
движим	dviʒim
двоен	dvɔɛn
двоеточие	dvoɛtɔtʃiɛ
двоичен	dvoitʃɛn
двойка	dvɔjkɐ
двойствен	dvɔjstvɛn
двор	dvɔr
дворец	dvorɛts
двояк	dvoja̟k
двубой	dvobɔj
двуличен	dvolitʃɛn
двусмислен	dvosmislɛn
двусмисленост	dvosmislɛnost
двусмислие	dvosmisliɛ
двусмислица	dvosmislitsɐ
де	dɛ
деактивирам	dɛɐktivirɐm
дебел	dɛbɛɫ
дебелак	dɛbɛɫak
дебелан	dɛbɛɫan
дебелее	dɛbɛlɛɛ
дебелеейки	dɛbɛlɛɛjki
дебелеел	dɛbɛlɛɛɫ
дебелеела	dɛbɛlɛɛɫɐ
дебелеели	dɛbɛlɛɛli
дебелеело	dɛbɛlɛɛɫo
дебелеем	dɛbɛlɛɛm
дебелеене	dɛbɛlɛɛnɛ
дебелеенета	dɛbɛlɛɛnɛtɐ
дебелеенетата	dɛbɛlɛɛnɛtɐtɐ
дебелеенето	dɛbɛlɛɛnɛto
дебелеения	dɛbɛlɛɛnijɐ
дебелеенията	dɛbɛlɛɛnijɐtɐ
дебелеете	dɛbɛlɛɛtɛ
дебелеех	dɛbɛlɛɛx
дебелееха	dɛbɛlɛɛxɐ
дебелеехме	dɛbɛlɛɛxmɛ
дебелеехте	dɛbɛlɛɛxtɛ
дебелееш	dɛbɛlɛɛʃ
дебелееше	dɛbɛlɛɛʃɛ
дебелеещ	dɛbɛlɛɛʃt
дебелееща	dɛbɛlɛɛʃtɐ
дебелеещата	dɛbɛlɛɛʃtɐtɐ
дебелеещи	dɛbɛlɛɛʃti
дебелеещите	dɛbɛlɛɛʃtitɛ
дебелеещия	dɛbɛlɛɛʃtijɐ
дебелеещият	dɛbɛlɛɛʃtijɐt
дебелеещо	dɛbɛlɛɛʃto
дебелеещото	dɛbɛlɛɛʃtoto
дебелей	dɛbɛlɛj
дебелейте	dɛbɛlɛjtɛ
дебелели	dɛbɛlɛli
дебелелите	dɛbɛlɛlitɛ
дебелелия	dɛbɛlɛlijɐ
дебелелият	dɛbɛlɛlijɐt
дебелея	dɛbɛlɛjɐ
дебелеят	dɛbɛlɛjɐt
дебеля	dɛbɛlʲa̟
дебелял	dɛbɛlʲa̟ɫ
дебеляла	dɛbɛlʲa̟ɫɐ
дебелялата	dɛbɛlʲa̟ɫɐtɐ
дебеляло	dɛbɛlʲa̟ɫo
дебелялото	dɛbɛlʲa̟ɫoto
дебелях	dɛbɛlʲa̟x
дебеляха	dɛbɛlʲa̟xɐ
дебеляхме	dɛbɛlʲa̟xmɛ
дебеляхте	dɛbɛlʲa̟xtɛ
дебло	dɛbɫo
дебляци	dɛblʲɐtsi
дебна	dɛbna
дебна	dɛbnɐ
дебнал	dɛbnaɫ
дебнал	dɛbnɐɫ
дебнала	dɛbnaɫɐ
дебнала	dɛbnɐɫɐ
дебналата	dɛbnaɫɐtɐ
дебналата	dɛbnɐɫɐtɐ
дебнали	dɛbnali
дебнали	dɛbnɐli
дебналите	dɛbnalitɛ
дебналите	dɛbnɐlitɛ
дебналия	dɛbnalijɐ
дебналия	dɛbnɐlijɐ
дебналият	dɛbnalijɐt
дебналият	dɛbnɐlijɐt
дебнало	dɛbnaɫo
дебнало	dɛbnɐɫo
дебналото	dɛbnaɫoto
дебналото	dɛbnɐɫoto
дебнат	dɛbnɐt
дебната	dɛbnɐtɐ
дебнатата	dɛbnɐtɐtɐ
дебнати	dɛbnɐti
дебнатите	dɛbnɐtitɛ
дебнатия	dɛbnɐtijɐ
дебнатият	dɛbnɐtijɐt
дебнато	dɛbnɐto
дебнатото	dɛbnɐtoto
дебнах	dɛbnax
дебнах	dɛbnɐx
дебнаха	dɛbnaxɐ
дебнаха	dɛbnɐxɐ
дебнахме	dɛbnaxmɛ
дебнахме	dɛbnɐxmɛ
дебнахте	dɛbnaxtɛ
дебнахте	dɛbnɐxtɛ
дебне	dɛbnɛ
дебнейки	dɛbnɛjki
дебнел	dɛbnɛɫ
дебнела	dɛbnɛɫɐ
дебнели	dɛbnɛli
дебнело	dɛbnɛɫo
дебнем	dɛbnɛm
дебнене	dɛbnɛnɛ
дебненета	dɛbnɛnɛtɐ
дебненетата	dɛbnɛnɛtɐtɐ
дебненето	dɛbnɛnɛto
дебнения	dɛbnɛnijɐ
дебненията	dɛbnɛnijɐtɐ
дебнете	dɛbnɛtɛ
дебнех	dɛbnɛx
дебнеха	dɛbnɛxɐ
дебнехме	dɛbnɛxmɛ
дебнехте	dɛbnɛxtɛ
дебнеш	dɛbnɛʃ
дебнеше	dɛbnɛʃɛ
дебнещ	dɛbnɛʃt
дебнеща	dɛbnɛʃtɐ
дебнещата	dɛbnɛʃtɐtɐ
дебнещи	dɛbnɛʃti
дебнещите	dɛbnɛʃtitɛ
дебнещия	dɛbnɛʃtijɐ
дебнещият	dɛbnɛʃtijɐt
дебнещо	dɛbnɛʃto
дебнещото	dɛbnɛʃtoto
дебни	dɛbni
дебя	dɛbʲɐ
дев	dɛf
дева	dɛvɐ
девесил	dɛvɛsiɫ
девет	dɛvɛt
деветдесет	dɛvɛddɛsɛt
девети	dɛvɛti
деветнадесет	dɛvɛtnadɛsɛt
деветнайсет	dɛvɛtnajsɛt
деветстотин	dɛvɛtstotin
девиация	dɛviatsijɐ
девица	dɛvitsɐ
девойка	dɛvɔjkɐ
деди	dɛdi
деепричастие	dɛɛpritʃa̟stiɛ
дейност	dɛjnost
дейности	dɛjnosti
действие	dɛjstviɛ
действителен	dɛjstvitɛlɛn
действителност	dɛjstvitɛɫnost
декалитър	dɛkɐlitɐr
декември	dɛkɛɱvri
декларации	dɛkɫɐratsiitɛ
декларациите	dɛkɫɐratsiitɛ
декларация	dɛkɫɐratsijɐ
декларацията	dɛkɫɐratsijɐtɐ
делва	dɛɫvɐ
дележ	dɛlɛʃ
делея	dɛlɛjɐ
делир	dɛlir
дело	dɛɫo
делови	dɛɫovi
делфин	dɛɫfin
делфинариум	dɛɫfinariom
деля	dɛlʲɤ̟
делян	dɛlʲa̟n
демек	dɛmɛk
дементен	dɛmɛntɛn
деменция	dɛmɛntsijɐ
демогеронт	dɛmoɡɛrɔnt
демократически	dɛmokrɐtitʃɛski
демокрация	dɛmokratsijɐ
ден	dɛn
дендрохронология	dɛndroxronoɫɔɡijɐ
денес	dɛnɛs
депвам	dɛpvɐm
депеша	dɛpɛʃɐ
депонентен	dɛponɛntɛn
депресивност	dɛprɛsivnost
депресия	dɛprɛsijɐ
дера	dɛra
дервен	dɛrvɛn
деребей	dɛrɛbɛj
дерзая	dɛrzajɐ
деруга	dɛruɡɐ
десен	dɛsɛn
десерт	dɛsɛrt
десет	dɛsɛt
десети	dɛsɛti
дескриптивност	dɛskriptivnost
десна	dɛsnɐ
десняк	dɛsnʲa̟k
деспот	dɛspɔt
деспотизъм	dɛspotizɐm
деспотица	dɛspɔtitsɐ
деспотичен	dɛspotitʃɛn
деспотство	dɛspɔtsvo
дестилационен	dɛstiɫɐtsiɔnɛn
дестилация	dɛstiɫɐtsijɐ
деструктивност	dɛstroktivnost
детайл	dɛtajɫ
дете	dɛtɛ
детел	dɛtɛɫ
детински	dɛtinski
детищ	dɛtiʃt
дето	dɛto
детонатор	dɛtonator
детски	dɛtski
детство	dɛtstvo
дефиниция	dɛfinitsijɐ
деца	dɛtsa
децата	dɛtsatɐ
децилитър	dɛtsilitɐr
дециметър	dɛtsimɛtɐr
дечица	dɛtʃitsɐ
дечурлига	dɛtʃo̟rliɡɐ
дея	dɛjɐ
джавкам	dʒa̟fkɐm
джага	dʒa̟ɡɐ
джаджа	dʒa̟dʒɐ
джаз	dʒa̟s
джазов	dʒa̟zof
джамия	dʒɐmijɐ
джанъм	dʒa̟nɐm
джаул	dʒa̟oɫ
джендър	dʒɛndɐr
джентълмен	dʒɛntɐɫmɛn
джентълменски	dʒɛntɐɫmɛnski
джигер	dʒiɡɛr
джин	dʒin
джинджифил	dʒindʒifiɫ
джинси	dʒinsi
джип	dʒip
джоб	dʒɔp
джудже	dʒo̟dʒɛ
джудо	dʒu̟do
джунгла	dʒu̟ŋɡɫɐ
дзръцка	dzrɤtskɐ
диаграма	diɐɡramɐ
диалект	diɐlɛkt
диамант	diɐmant
дибек	dibɛk
див	dif
дива	divɐ
дивак	divak
диван	divan
диване	divɐnɛ
диветина	divɛtinɐ
дивеч	divɛtʃ
дивизма	divizmɐ
дигам	diɡɐm
дигна	diɡnɐ
диез	diɛs
диези	diɛzi
дизица	dizitsɐ
дизя	dizʲɐ
дий	dij
диканя	dikanʲɐ
дилянка	dilʲa̟ŋkɐ
дим	dim
динозавър	dinozavɐr
диня	dinʲɐ
дипломация	dipɫomatsijɐ
директор	dirɛktor
директорка	dirɛktorkɐ
дирижабъл	diriʒa̟bɐɫ
диря	dirʲɐ
дисаги	disaɡi
дисертация	disɛrtatsijɐ
дискета	diskɛtɐ
дискусия	diskusijɐ
диспросий	disprɔsij
дихам	dixɐm
дихание	dixaniɛ
дишам	diʃɐm
дишане	diʃɐnɛ
длага	dɫaɡɐ
длан	dɫan
длето	dlɛtɔ
длъжен	dɫɤʒɛn
дневен	dnɛvɛn
дневна	dnɛvnɐ
дневник	dnɛvnik
днес	dnɛs
днеска	dnɛskɐ
днешен	dnɛʃɛn
до	dɔ
доба	dɔbɐ
добавя	dobavʲɐ
добавям	dobavʲɐm
добитък	dobitɐk
добия	dobijɐ
доблест	dɔblɛst
доблестен	dɔblɛstɛn
добра	dobra
добра	dɔbrɐ
добре	dobrɛ
добрина	dobrina
добро	dobrɔ
добродушие	dobroduʃiɛ
добряк	dobrʲa̟k
добър	dobɤr
доведа	dovɛdɤ
доведат	dovɛdɤt
доведе	dovɛdɛ
доведели	dovɛdɛli
доведем	dovɛdɛm
