-al	al
koruna	kɔruna
koruna	kˈoruna
korund	kˈorunt
korundový	kˈorundˌoviː
korunka	korunka
korunkou	korunkou
korunní	kˈoruɲiː
korunovace	korunovatsɛ
korunovanou	korunovanou
korunovat	kˈorunˌovat
korunovační	kˈorunˌovatʃɲiː
korunový	kˈorunˌoviː
koruny	korunɪ
koruně	koruɲɛ
korupce	koruptsɛ
korupce	kɔruptsɛ
korupci	koruptsɪ
koruptela	kɔruptɛla
korupční	kˈoruptʃɲiː
korupčník	koruptʃɲik
korutansko	kˈorutansko
korutany	korutanɪ
korveta	korvɛta
korveta	kɔrvɛta
korybant	korɪbant
koryfej	korɪfɛj
korzet	kɔrɑzɛt
koráb	kˈoraːp
korábový	kˈoraːbˌoviː
korál	kɔraːl
korál	kˈoraːl
korále	kɔraːlɛ
korán	kˈoraːn
koránový	kˈoraːnˌoviː
koróna	kˈoroːna
korýš	kˈoriːʃ
kos	kɔs
kos	kˈos
kosa	kɔsa
kosa	kˈosa
kosatce	kosattsɛ
kosatec	kosatɛts
kosatec	kosotɛts
kosatka	kɔsatka
kosatka	kˈosatka
kose	kosɛ
kosekans	kosekanse
kosi	kosɪ
kosice	kosɪtsɛ
kosinus	kosɪnus
kosit	kosɪt
kosit	koˈsˈɛt
kosiřík	kosɪr̝iːk
kosiště	kosɪʃcɛ
kosman	kˈosman
kosmas	kˈosmas
kosmatý	kˈosmatiː
kosmetickou	kosmɛtɪtskou
kosmetické	osmɛtɪtskɛː
kosmetický	kosmɛtɪtskiː
kosmetička	kosmɛtɛtʃka
kosmická	osmɪtskaː
kosmický	kosmɪtskiː
kosmický	kˈosmɪtskiː
kosmických	osmɪtskˈiːx
kosmodrom	kˈosmodrom
kosmonaut	kosmonaut
kosmonauta	kosmonauta
kosmonos	kˈosmonos
kosmopolitní	kosmopolɪtɲiː
kosmos	koˈsmɔs
kosmos	kˈosmos
kosmu	kˈosmu
kosodélník	osodɛːlniːk
kosou	kosou
kosovo	kˈosovo
kosovský	kˈosofskiː
kosoúhlý	kosouːoɦliː
kosočtverec	kosotʃtvɛrɛts
kost	kɔst
kost	kˈost
kostarický	kostarɪtskiː
kostarika	kostarɪka
kostarika	kostorɪka
kostaričanka	kostarɪtʃanka
kostech	kostɛx
kostel	kostɛl
kostela	kostɛla
kostelany	kostɪlonɪ
kostele	kostɛlɛ
kostelech	kostɛlɛx
kostelem	kostɛlɛm
kostelnice	kostɛlɲɪtsɛ
kostelní	kostɛlɲiː
kostelník	kostɛlɲiːk
kostelníkův	kostɛlɲiːkuːf
kostelu	kostɛlu
kostely	kostɛlɪ
kostelích	kostɛliːx
kostelů	kostɛluː
kostelům	kostɛluːm
kostem	kostɛm
koster	kostɛr
kosterní	kostɛrɲiː
kosti	koscɪ
kostitřas	koscɪtr̝as
kostička	koscɪtʃka
kostižer	koscɪʒɛr
kostižerný	koscɪʒɛrniː
kostka	kˈostka
kostkovaný	koztˈkovoniː
kostku	kostku
kostlivec	kostlɪvɛts
kostmi	kostmɪ
kostnice	kostɲɪtsɛ
kostní	kˈostɲiː
kostra	kɔstra
kostra	kˈostra
kostrami	kostramɪ
kostrbatý	kostrbatiː
kostrbatý	kostrbatɪ
kostro	kˈostro
kostrou	kostrou
kostrový	kˈostroviː
kostru	kˈostru
kostry	kostrɪ
kostrách	kˈostraːx
kostrám	kˈostraːm
kostrč	kostrtʃ
kostrční	kostrtʃɲiː
kostální	kˈostaːlɲiː
kostí	kˈosciː
kostík	kˈosciːk
kostým	kˈostiːm
kostěný	koscɛniː
kostěný	kostɛɲiː
kostřava	kostr̝ava
kostřavový	kostr̝avoviː
kostře	kostr̝ɛ
kosu	kˈosu
kosy	kosɪ
kosán	kˈosaːn
kosí	kˈosiː
kosím	kˈosiːm
kosíř	kˈosiːr̝
kosý	kˈosiː
kotangens	kotangɛns
kotačce	kotatʃtsɛ
kotaček	kotatʃɛk
kotačka	kˈotatʃka
kotačkami	kotatʃkamɪ
kotačkou	kotatʃkou
kotačku	kˈotatʃku
kotačkách	kˈotatʃkaːx
kotační	kˈotatʃɲiː
kotec	kotɛts
kotel	kotɛl
kotelna	kotɛlna
kotelník	kotɛlɲiːk
kotelníkův	kotɛlɲiːkuːf
kotevní	kɔtɛvɲiː
kotle	kotlɛ
kotleta	kotlɛta
kotlář	kotlaːr
kotlík	kotlˈiːk
kotník	kɔtɲiːk
kotník	kˈotɲiːk
kotníkový	kˈotɲiːkˌoviː
kotopeky	kotopɛki
kotoul	kotoul
kotouč	kotoutʃ
kotovic	kotovɪts
kotovice	kotovɪtsɛ
kotrmelec	kotrmɛlɛts
kotrmelec	kotrmɪlɛts
kotrsal	kotrsal
kotva	kɔtˈva
kotva	kˈotva
kotval	kɔtval
kotvení	kutɨveniː
kotviště	kotvɪʃcɛ
kotvový řetěz	kotvoviːr̝ɛcɛs
kotě	kocɛ
koubková	koupkovaː
koudel	koudɛl
koudelka	koucɛlka
koudelka	koudɛlka
koukal	koukal
koukala	koukala
koukat	koukat
koukati	koukacɪ
koukám	koukaːm
koulař	koular̝
koulařka	koular̝ka
koule	koulɛ
koulet	koulɛt
koulovačce	koulovatʃtsɛ
koulovaček	koulovatʃɛk
koulovačka	koulovatʃka
koulovačkami	koulovatʃkamɪ
koulovačkou	koulovatʃkou
koulovačku	koulovatʃku
koulí	kouliː
koumák	oumaːk
koupališti	koupalɪʃcɪ
koupaliště	koupalɪʃcɛ
koupel	koupel
koupel	koupɛl
koupele	koupɛlɛ
koupelen	koupɛlɛn
koupelna	koupɛlna
koupelna	ko˩˥ːpɛlna˥˩
koupelnový	koupɛlnoviː
koupelny	koupɛlni
koupelová sůl	koupɛlovaːsuːl
koupení	koupɛɲiː
koupi	koupɪ
koupit	koupɪt
koupák	koupaːk
koupání	koupaːɲiː
koupí	koupiː
koupím	koupiːm
koupíš	kou̯piːʃ
koupě	koupjɛ
kousal	kousal
kousat	kousat
kousavý	kousaviː
kousek	kousɛk
kousl	kousl
kousne	kousnɛ
kousni	kousɲɪ
kout	kout
kouta	kou̯ta
koutek	kou̯tɛk
kouzelnice	kouzɛlɲitsɛ
kouzelník	kouzɛlɲiːk
kouzelníkův	kouzɛlɲiːkuːf
kouzelný	kouzɛlniː
kouzlení	kouzlɛɲiː
kouzlo	kouzlo
kouzlo mládí	kouzlomlaːɟiː
kouzlu	kou̯sdu
kouř	kour̝
kouře	kour̝ɛ
kouře	kouʒɛ
kouře	kou̯r̝ɛ
kouřem	kour̝ɛm
kouření	kour̝ɛɲiː
kouři	kour̝ɪ
kouřil	kour̝ɪl
kouřilo	kour̝ɪlo
kouřim	kour̝ɪm
kouřim	kou̯rɪm
kouřit	kour̝ɪt
kouřmo	kour̝mo
kouřovod	kour̝ɛvot
kouří	kour̝iː
kouřích	kour̝iːx
kouřím	kour̝iːm
kouříme	kour̝iːmɛ
kouříte	kour̝iːtɛ
kouříš	kouriːʃ
kouříš	kour̝iːʃ
kouřů	kour̝uː
kouřům	kour̝uːm
kov	kɔf
kov	kˈof
kovadlina	kovadlɪna
kovadlina	kɔvadlɪna
kovadlinka	kovadlɪnka
kovadlinka	povadlɪnka
kovadlinový	kovadlɪnoviː
koval	kˈoval
kovaly	kovalɨ
kovaného	kovanɛːɦo
kovaný	kˈovaniː
kovaných	kɔvaniːx
kovařík	kˈovar̝iːk
kovaříková	kˈovar̝ˌiːkovaː
kovbojka	kˈovbojka
kovej	kovɛj
kovkop	kˈofkop
kovový	kˈovoviː
kovozemědělec	kovozɛmɲɛɟɛlɛts
kovu	kˈovu
kov alkalických zemin	kofalkalɛtskiːxʒɛmɪn
kovácsová	kovaːtsovaː
koválovice-osíčany	kovaːlovɪtsɛoziːtʃanɪ
kovám	kɔvaːm
kování	kˈovaːɲiː
kovárna	kɔvaːrna
kováč	kˈovaːtʃ
kovář	kˈovaːr̝
kováře	kovaːr̝ɛ
kovářský	kˈovaːr̝skiː
kovářův	kˈovaːr̝uːf
kovčín	kɔftʃiːn
koz	kˈos
koza	kɔza
koza	kˈoza
kozalcový	kˈozaltsˌoviː
kozami	kozamɪ
kozanda	kˈozanda
kozatý	kˈozatiː
kozaček	kozatʃɛk
kozačku	kˈozatʃku
kozař	kˈozar̝
koze	kozɛ
kozel	kozɛl
kozel	kɔzɛl
kozelec	kozɛlɛts
kozička	kozɪtʃka
kozičku	kozɪtʃku
kozičky	kozɪtʃkɪ
kozlí	kˈozliː
kozmický	kozmɪtskiː
kozo	kˈozo
kozojídky	kozoiːtkɪ
kozomrd	kozomrt
kozoroh	kˈozorox
kozou	kozou
kozu	kˈozu
kozy	kozɪ
kozách	kˈozaːx
kozácký	kˈozaːtskiː
kozák	kˈozaːk
kozákov	kozaːkɔf
kozákovi	kozaːkovɪ
kozám	kˈozaːm
kozáček	kozaːtʃɛk
kozí	kˈoziː
kočanda	kˈotʃanda
kočce	kotʃtsɛ
kočebrácký	kotʃɛbraːtskiː
koček	kotʃɛk
kočička	kotʃitʃka
kočička	kotʃɪtʃka
kočičky	kotʃɪtʃkɪ
kočičák	kotʃiːtʃaːk
kočičí	kotʃitʃiː
kočičí	kotʃɪtʃiː
kočka	kɔtʃka
kočka	kˈotʃka
kočkami	kotʃkamɪ
kočko	kˈotʃko
kočkodan	kˈotʃkodan
kočkopes	kotʃkopɛs
kočkopes	otʃkopɛs
kočkou	kotʃkɪ
kočku	kˈotʃku
kočky	kotʃkɪ
kočkách	kˈotʃkaːx
kočkám	kˈotʃkaːm
kočovat	kˈotʃovat
kočovati	kotʃovacɪ
kočovník	kˈotʃovɲiːk
kočovníků	kotʃovɲiːkv
kočovný	kˈotʃovniː
kočování	kˈotʃovˌaːɲiː
kočár	kˈotʃaːr
kočárek	kotʃaːrɛk
kočárek	kɔtʃaːrɛk
kočí	kˈotʃiː
koňadra	koɲadra
koňak	koɲak
koňak	kˈoɲak
koňakový	kˈoɲakˌoviː
koňaku	kˈoɲaku
koňačka	kˈoɲatʃka
koňka	kˈoɲka
koňská	kɔɲskaː
koňský	kɔɲskiː
koňský	kˈoɲskiː
kořaleční	koralɛtʃɲˈiː
kořalice	kor̝alɪtsɛ
kořalička	kor̝alɪtʃka
kořalka	kˈor̝alka
kořen	kor̝ɛn
kořenec	koʒɛnɛts
kořenka	kor̝ɛnka
kořenový	kor̝ɛnoviː
kořeny	kor̝ɛnɪ
koření	kor̝ɛɲiː
kořist	korɪst
kořistka	kor̝ɪstka
kořistný	kor̝ɪstmiː
kořistný	kor̝ɪstniː
kořán	kˈor̝aːn
kořánová	kˈor̝aːnˌovaː
kořání	kˈor̝aːɲiː
kořínek	kor̝iːnɛk
koš	kˈoʃ
košatinka	koʃacɪnka
košatý	kˈoʃatiː
koše	koʃɛ
košer	koʃɛr
košer	koˈʃar
košerovat	koʃɛrovat
košerování	koʃɛrovaːɲiː
košerácký	koʃɛraːtskiː
košerák	koʃɛraːk
košice	koʃɪtsɛ
košilatý	koʃiːlatˈiː
košile	koʃɪlɛ
košilka	koʃɪlka
košnice	koʃɲɪtsɛ
koštovat	kˈoʃtovat
koštýř	kˈoʃtiːr̝
koště	koʃcɛ
košár	kˈoʃaːr
košík	kɔʃiːk
košík	kˈoʃiːk
košíková	kˈoʃiːkˌovaː
košíku	kˈoʃiːkv
košíkář	kˈoʃiːkaːr̝
košíkářský	koʃiːkaːrskiː
košťany	koʃcɛnɪ
košťál	koʃcˈaːl
košťál	kˈoʃcaːl
koťata	kokata
koťata	kokˈatˈa
koťátko	kˈocaːtko
kožatka	kɔʒatka
kožce	koʃtsɛ
koženka	koʒɛnka
kožený	koʒɛniː
kožešina	koʒɛʃiːna
kožešina	koʒɛʃɪna
kožešník	koʒɛʃɲiːk
kožichový	koʒɪxoviː
kožnatý	kɔʒnatiː
kožní	koʒɲiː
kožní	kˈoʒɲiː
kra	krˈa
kra	kɛra
krab	krˈap
krabice	krabɪtsɛ
krabilové	krabɪlovɛː
krabičce	krabɪtʃtsɛ
krabička	krabɪtʃka
krabička sirek	krabɪtʃkasɪrɛk
krabičku	krabɪtʃku
krabošice	kraboʃɪtsɛ
krabí	krˈabiː
krach	krak
kradeš	kradɪʃ
kradmo	krˈadmo
krahuličí	kraɦulɪtʃiː
kraj	krˈaj
krajanka	krajanka
krajanku	krajanku
krajem	krajɛm
kraječka	krajɛtʃka
krajina	krajina
krajina	krajɪna
krajinka	krajɛnka
krajino	krajɪno
krajiny	krajɪnɪ
krajkový	krˈajkoviː
krajkářka	krˈajkaːr̝ka
krajnice	krajɲitsɛ
krajní	krajɲiː
krajní	krˈajɲiː
krajník	krajɲiːk
krajská	krˈajskaː
krajské	krajskɛː
krajského	krajskɛːɦo
krajský	krˈajskiː
krajských	krajʃkˈiːx
krajských	krˈajskiːx
krajským	krajskiːm
krajta	krˈajta
krajáč	krˈajaːtʃ
krajíc	krˈajiːts
krajích	krˈajiːx
krajíček	krojiːtʃɛk
krajů	kraju
krajů	krajuː
krakatice	krakacɪtsɛ
krakatit	krakatɪt
krakonoš	krakɔnˈoʃ
krakov	krˈakof
krakovany	krakofanɛ
krakovat	krˈakovat
krakořice	krakor̝ɪtsɛ
kraksna	krˈaksna
kralice	kralɪtsɛ
kralický	kralɪtskiː
kralovice	kraˈlɔvɪtsɛ
kralování	kraɫovaːniː
kramle	kramlæ
kramle	kramlɛ
kras	krˈas
krasavec	krasavets
krasavec	krasavɛts
kraslice	kraslɪtsɛ
krasobruslařka	krˈasobrˌuslar̝ka
krasobruslení	krasobroslɛɲiː
krasobruslení	krasobruslɛɲiː
krasoduch	krasudux
krasojezdkyně	krasojɛstkɪɲɛ
krasonice	krasoɲitsɛ
krasopisně	krasopɪsnɛ
krasosmutnění	krasosmutɲɛniː
krasov	krasɔf
krasověda	krasovjɛda
krasoňovice	krasoɲovɛtsɛ
krasu	krˈasu
krasíkov	krasiːkɔf
kratiknot	kracɪknot
kratochvilka	gratɔxvɪlka
kratochvíleová	kratoxviːlɛovaː
kratochvílová	krˈatoxvˌiːlovaː
kratochwil	kratɔxvɪl
kratší	krˈatʃiː
kratších	krˈatʃiːx
kratším	krˈatʃiːm
kraul	krau
kraulařka	kraular̝ka
kraus	kraus
kraus	kɾaus
krav	krˈaf
kravami	kravamɪ
kravat	krˈavat
kravata	krˈavata
kravatami	kravatamɪ
kravato	krˈavato
kravatou	kravatou
kravatu	krˈavatu
kravaty	kravatɪ
kravatách	krˈavataːx
kravatám	krˈavataːm
kravatě	kravacɛ
kravaťák	kravacˈaːk
kravina	kravina
kravina	kravɪna
kravinec	kravɪnɛts
kravinka	pravɛnka
kravičce	kravɪtʃtsɛ
kravička	kravɪtʃka
kravičku	kravɪtʃku
kravka	krˈafka
kravský	krˈafskiː
kravách	krˈavaːx
kravál	kravˈaːl
kravál	krˈavaːl
kravám	krˈavaːm
kraví	krˈaviː
kravín	krˈaviːn
kraď	krˈac
kraňsko	krˈaɲsko
krať	krˈac
kraťas	krˈacas
kraťasy	kracasɪ
krb	krp
krb	kɾb
krbce	krptse
krbový	krboviː
krch	krx
krchov	krxof
krchňačka	krxɲatʃka
kreatura	krɛatura
kreatura	krɛatuːra
kreaturami	krɛaturamɪ
kreaturami	krɛatuːramɪ
kreaturu	krɛaturu
kreaturu	krɛatuːru
kreatury	krɛaturɪ
kreatury	krɛatuːrɪ
kreatuře	krɛatur̝ɛ
kreatuře	krɛatuːr̝ɛ
krecht	krɛxt
kredenc	kredɛnts
kredenc	krɛdɛnts
kredence	krɛdɛntsɛ
kredencká	krɛdɛntskaː
kreditní	kradɪtniː
kreje	krɛjɛ
krejzlík	krɛjzliːk
krejčí	krɛjtʃiː
krejčíř	krɛjtʃiːr
kremace	krɛmatsɛ
krematorium	krɛmatorɪjum
kreml	krɛml
kremlu	krɛmlu
kremrole	krɛmrolɛ
kremrole	krɛmrovɛ
kremže	krɛmʒɛ
krenek	kʂɛnɛk
kreol	krɛol
krepdešín	krɛpdɛʃiːn
krepis	krapis
krepl	krɛpl
krepušová	krɛpuʃovaː
kresba	krɛzba
kreslit	krɛslɪ
kreslit	krɛslɪt
kreslíte	kresliːtɛ
kreslířka	krɛsliːr̝ka
krestní	krɛstɲiː
kresčak	krɛstʃak
kretenismus	krɛtɛnɪzmus
kretén	kretɛn
kretén	krɛtɛːn
krev	krɛf
krev	krˈɛf
krevel	kravɛl
krevelový	krɛvɛloviː
kreveta	krɛvɛta
krevety	krɛvɛti
krevnatý	krɛvnatˈiː
krevní	krɛvɲiː
kreščák	krɛʃtʃaːk
krhavý	krɦaviː
kriminalista	krɪmɪnalɪsta
kriminalisty	krɪmɪnalɪstɪ
kriminalisté	krɪmɪnalɪstɛː
kriminalistů	krɪmɪnalɪstuː
kriminalita	krɪmɪnalɪta
kriminologie	krɪmɪnologɪjɛ
kriminálky	krimɪnaːlkɪ
kriminální	krɪmɪnaːlɲiː
kriminálník	krɪmɪnaːlɲiːk
krinolína	krɪnoliːna
krioština	krɪʎoʃtɪna
kripl	krɪpl
kris	krɪs
krise	krɪzɛ
kristadelfián	krɪstadɛlfɪjaːn
kriste	kristɛ
kristem	krɪftɛm
kristepane	krɪstɛpanɛ
kristián	krɪstɪjaːn
kristus	krɪstus
kristův	krɪstuːf
kritice	krɪtɪtsɛ
kritici	krɪtɪtsɪ
kriticky	krɪtɪtskɪ
kritické	krɪtɪtskɛː
kritickém	krɪtɪtskɛːm
kritický	krɪtɪtskiː
kriticích	krɪtɪtsiːx
kritik	krɪtɪk
kritika	krɪtɪka
kritikami	krɪtɪkamɪ
kritikem	krɪtɪkɛm
kritiko	krɪtɪko
kritikou	krɪtɪkou
kritikovi	krɪtɪkovɪ
kritikové	krɪtɪkovɛː
kritiku	krɪtɪku
kritiky	krɪtɪkɪ
kritikách	krɪtɪkaːx
kritikám	krɪtɪkaːm
kritiků	krɪtɪkuː
kritikům	krɪtɪkuːm
kritizoval	krɪtɪzoval
kritizovat	krɪtɪzovat
kritizován	krɪtɪzovaːn
kritizuje	krɪtɪzujɛ
kritičtí	krɪtɪtʃciː
kritérium	krɪtɛːrɪum
krize	krɪzɛ
krizi	krɪzɪ
krizový	krɪzoviː
krizí	krɪziː
krk	krk
krk	kɾk
krkat	krkat
krkat	tɵrkat
krkavec	krkavɛts
krkavice	krkavɪtsɛ
krkl	krkl
krkolomný	krkolomniː
krkonoše	krkonoʃɛ
krkonoše	krkˈonˈoʃɛ
krkonoších	krkonoʃiːx
krkoun	krkoun
krkovička	krkoviːtʃka
krkovička	krkovɪtʃka
krku	krku
krku	kɾkˈu
krleš	krlɛʃ
krm	krm
krmelec	krmɛlɛts
krmení	krmɛniː
krmit	krmɪt
krmivo	krmɪvo
krmivo	ɛrˈmɪvo
krmná	krmna
krmník	krmɲiːk
krmí	krmiː
krmě	krmɲɛ
krnap	krnap
krnka	kɾnka
krnov	krnof
krobián	krobɪaːn
krocan	kruːtsɛnɐ
krocan	krˈotsan
krocaní	krˈotsaɲiː
krok	krˈok
krokem	klokem
krokev	krokɛf
krokodýl	krˈokodiːl
krokodýlí	krˈokodˌiːliː
krokoměr	krokomɲɛr
krokový	krˈokoviː
krokusový	krˈokusˌoviː
krokvice	krokvɪtsɛ
krom	krˈom
kromobyčejný	kromovɪtʃɛjniː
kromě	kromɲɛ
kroměříž	kromɲɛr̝iːʃ
kroměřížsko	kromɲɛr̝iːʃsko
kroměřížsku	kromɲɛr̝iːʃsku
kronika	kronɪka
kronikář	kronɪkaːr̝
kronikářka	kronɪkaːr̝ka
kronista	kronɪsta
kronštadtský	kronʃtatskiː
kronštadtský	kroːnʃtatskiː
kropenačka	kropɛnatʃka
kropenka	kropɛɲka
kropáč	kropatʃ
kros	krˈos
krosna	krˈosna
krotitelka	krotjitɛlka
kroucení	proutsɛniː
krouhačka	krou̯ɦaʃka
kroupa	kroupa
kroupami	kroupamɪ
kroupový	kroupoviː
kroupy	krou̯pɪ
kroutil	kroucɪl
kroutila	kroucɪla
kroužek	krouʒɛk
kroužkovat	krouʃkovat
kroužkový	krouʃkovˈiː
krouží	krouʒiː
krov	kɾˈof
krovech	krovɛx
krovka	krˈofka
kročej	krotʃɛj
krt	krt
krtek	krtok
krtek	krtɛk
krtek	kɯrtɛk
krteček	kɯrtatʃak
krtina	krcɪna
krtka	krtka
krtčí	krttʃiː
kruchta	krˈuxta
krucifix	krutsɪfɪks
krucinek	kruːtsɪnɛk
kruciáta	krutsɪaːta
kruciš	krutsɪʃ
kruh	krˈux
kruhovou	kruɦovou
kruhového	kruɦovɛːɦo
kruhový	kruɦoviː
kruhový proces	kruɦouiːpratsɛs
kruhu	kruhu
kruháč	kruɦaːtʃ
krumpáč	krˈumpaːtʃ
krumpáč	kɾumpˈaːtʃ
krunýř	krˈuniːr̝
krupařka	krˈupar̝ka
krupce	kruptsɛ
krupičkový	krupjtʃkoviː
krupka	krˈupka
krupobití	krupobɪciː
krupon	krˈupon
krupovka	krˈupofka
krut	kruð
kruton	krˈuton
krutopřísnej	gruːtopr̝iːsnɛj
krutopřísnej	krutopr̝iːsnɛjiː
krutostí	krˈutosciː
krutovláda	grutovlˈaːda
krutá	krˈutaː
kruté	krutɛ
kruté	krutɛː
krutý	krˈutiː
krušení	kruʃɛɲiː
krušinový	kruʃɪnoviː
kruškovice	kruʃkavɛtsɛ
krušnohorský	gruʃnaɦorfkiː
krušnohorský	kruʃnoɦorskiː
krušnohoří	kruʃnoɦor̝iː
krušný	krˈuʃniː
krušně	kruʃɲɛ
krušpánek	kruʃpaːnɛk
kružina	kruʒina
kružnice	kruʒɲɪtsɛ
kružní pila	kruʒɲiːpɪla
kružítko	kruʒiːtkˈo
kružítko	krˈuʒiːtko
krvavá	krouvaː
krvavý	krvaviː
krvavý	krvavˈiː
krve	krvɛ
krve	trva
krvelačný	krvɛlatʃniː
krvelačný	prvɛlotʃniː
krvesmilstvo	krvɛsmɪlstvo
krvetvorný	krvɛtvorniː
krvežíznivý	krvɛʒiːzɲɪviː
krvi	krvi
krvi	krvɪ
krvinka	krvɪnka
krvotvorný	krvotvorniː
krváceje	krvaːtsɛjɛ
krvácející	krvaːtsɪjitsiː
krvácení	krvaːtsɛɲiː
krvácení	trvaːtsɛniː
krvácet	krvaːtsɛt
krví	krvi
krychle	krɪxla
krychle	krɪxlɛ
krychlový	krɪxloviː
krycí	krɪtsiː
krym	krɪm
krymr	krɪmr
krynek	krimɛk
kryofilní	krɪjofɪlɲiː
kryoturbace	krɪjoturbatsɛ
krypta	kripta
krypta	krɪpta
krypto-	krɪpto
kryptoanalýza	krɪptoanaliːza
kryptografie	krɪptografɪjɛ
kryptogram	krɪptogrɑːm
kryptologie	krɪptologɪjɛ
krypton	krɪpton
kryptonový	krɪptonoviː
kryptový	krɪptoviː
krysa	krɪsa
krysař	krɪsar̝
krystal	krɪstal
krystalický	krɪstalɪtskiː
krysí	krɪsiː
kryt	krɪt
krytka	kritka
krytohlav	krɪtoɦlap
krytosemenný	krɪtosɛmɛniː
krytá	krɪtaː
krytý	krɪtiː
kryštof	kriʃtof
kryštof	krɪʃtof
krzno	krzno
krá	krˈaː
krá	raː
krádež	kraːdɛʃ
krádež	kɾaːdɛʃ
krádeže	kraːdɛʒɛ
krádežemi	kraːdɛʒɛmɪ
krádeží	kraːdɛʒiː
krájet	kraːjɛt
krákat	krˈaːkat
krákorat	krˈaːkorat
krákoře	kraːkor̝ɛ
král	krˈaːl
král	kɾaːl
krále	kraːlɛ
králi	kraːlɪ
králický	kraːlɪtskiː
králik	kraːliːk
králičí	kraːlɪtʃiː
královec	kraːlovɛts
královen	kraːlovɛn
královice	kraːlovɪtsɛ
královna	graːlouna
královna	krˈaːlovna
královnami	kraːlovnamɪ
královno	krˈaːlovno
královnou	kraːlovnou
královnu	krˈaːlovnu
královny	kraːlovnɪ
královnách	krˈaːlovnaːx
královnám	krˈaːlovnaːm
královně	kraːlovɲɛ
královrah	krˈaːlovrax
královská	kraːlovskaː
královské	raːlofskɛː
královský	krˈaːlofskiː
království	krˈaːlofstviː
královstvích	krˈaːlofstviːx
králová	krˈaːlovaː
králové	kraːlovɛː
královéhradecké	kraːlovɛːɦradɛtskɛː
královéhradeckého	kraːlovɛːɦradɛtskɛːɦo
královéhradecký	kraːlovɛːɦradɛtskiː
králství	krˈaːlstviː
králíci	kraːlitsɛ
králík	krˈaːliːk
králíky	kraːliːkɪ
králíkáren	kraːliːkaːrɛn
králíkárna	kraːliːkɑːrna
králíkárna	krˈaːliːkˌaːrna
králíkárnami	kraːliːkaːrnamɪ
králíkárno	krˈaːliːkˌaːrno
králíkárnou	kraːliːkaːrnou
králíkárnu	krˈaːliːkˌaːrnu
králíkárny	kraːliːkaːrnɪ
králíkárnách	krˈaːliːkˌaːrnaːx
králíkárnám	krˈaːliːkˌaːrnaːm
králíkárně	kraːliːkaːrɲɛ
králíček	kraːliːtʃɛk
králíček	kraːlɪtʃɛk
králův	krˈaːluːf
krám	krˈaːm
krámek	kraːmɛk
krámy	kraːmɪ
krápník	kraːpnɛk
krápníků	krˈaːpɲiːkuː
krás	krˈaːs
krása	krˈaːsa
krásno	krˈaːsno
krásnohlasý	kraːsnoɦlasiː
krásnoočko	krˈaːsnˈaˈotʃko
krásnou	kraːsnou
krásná	kraːsnaː
krásná	krˈaːsnaː
krásním	kraːsɲiːm
krásný	krasniː
krásný	krˈaːsniː
krásný	krˈaːsnˈiː
krásných	grasnˈiːx
krásně	kraːsɲɛ
krásnější	kraːsɲɛjʃiː
krást	krˈaːst
krásy	graːsʲi
krát	kraːnt
krátce	kraːttsɛ
krátce řečeno	kraːtsɛr̝ɛtʃɛno
kráter	kraːtər
kráter	kraːtɛr
krátit	kraːcɪt
krátko	kraːtko
krátkodobou	kraːtkodobou
krátkodobá	krˈaːtkodˌobaː
krátkodobé	kraːtkodobɛː
krátkodobého	kraːtkodobɛːɦo
krátkodobém	kraːtkodobɛːm
krátkodobému	kraːtkodobɛːmu
krátkodobí	krˈaːtkodˌobiː
krátkodobý	krˈaːtkodˌobiː
krátkodobých	krˈaːtkodˌobiːx
krátkodobým	krˈaːtkodˌobiːm
krátkodobými	kraːtkodobiːmɪ
krátkonohý	kraːtkonoɦiː
krátkonožka	kraːtkonˈoʃka
krátkosrstý	kraːtkosrstiː
krátkosrstý	kraːtkosr̝stiː
krátkosti	kraːtkostɪ
krátkozrakost	kraːdkozrakost
krátkozrakost	krˈaːtkozrˌakost
krátká	krˈaːtkaː
krátké spojení	kraːdkɛːspajɛniː
krátký	krˈaːtkiː
krátkým	kraːtkiːm
krátkým	kraːtkɛm
krátím si čas	kraːtiːmsɪtʃas
kráva	grava
kráva	krˈaːva
krávami	kraːvamɪ
krávo	krˈaːvo
krávou	kraːvou
krávovina	kraːvovɪna
krávu	krˈaːvu
krávy	kraːvɪ
krávách	krˈaːvaːx
krávám	krˈaːvaːm
krávě	kraːvjɛ
kráčeje	kraːtʃɛjɛ
kráčejícímu	kraːtʃɛjitsiːmu
kráčela	kraːtʃɛla
kráčet	kraːtʃɛt
kráčet	kɾaːtʃɛt
kráčet s duchem doby	kraːtʃɛsduxɛmdopɪ
kráčí	krˈaːtʃiː
kráčí	kɾˈaːtʃiː
kráčíš	krˈaːtʃiːʃ
kráčíš	kɾˈaːtʃiːʃ
krášlit	kraːʃlɪt
krém	kræm
krém	krɛːm
krémový	krɛːmoviː
krémový	krɛːmˈoviː
kréta	krɛːta
krétský	krɛːtskiː
krýgl	kriːgl
krýt	krˈiːt
krýti	kriːcɪ
krč	krtʃ
krčař	krtʃar̝
krček	krtʃak
krči	krtʃɪ
krčil	krtʃɪl
krčma	krtʃma
krčmář	krtʃmaːr̝
krčmář	krtʃmaːʃ
krčmářka	krtʃmaːr̝ka
krčnice	krtʃɲɪtsɛ
krční	krtʃɲiː
krčních	krtʃnˈiː
krčním	krtʃɲiːm
