ༀ	om 
གནས་མཆོག་ཁྱད་པར་ཅན་དུ་སྐྱེ་བར་ཤོག	né chok khyepar chen du kyewar shok
གནས་མཆོག་ཁྱད་པར་ཅན་ལ་གསོལ་བ་འདེབས༔	né chok khyepar chen la solwa deb
གནས་མཆོག་ཉམས་སུ་མི་དགའ་རུ༔	né chok nyam su mi ga ru
གནས་མཆོག་དམ་པ་ཉམས་རེ་དགའ༔	né chok dampa nyam ré ga
གནས་མཆོག་པདྨ་ཤེལ་ཕུག་ལ་གསོལ་བ་འདེབས	né chok pema shel puk la solwa deb
གནས་མཆོག་པདྨོ་བཀོད་ལ་སོགས	né chok pemo kö lasok
གནས་མཆོག་བརྒྱ་རྩའི་ཞལ་རས་དངོས་བརྒྱུད་ནས	né chok gya tsé zhelré ngö gyü né
གནས་མཆོག་འདི་རུ་བྱིན་ཕོབ་ལ༔	né chok di ru jin pop la
གནས་མཆོག་འདི་རུ་བྱིན་ཕོབ་ལ༔	né chok diru jin pob la
གནས་མཆོག་འདི་རུ་བྱིན་ཕོབ་ལ༔	né chok diru jinpob la
གནས་མཆོག་རྣམ་དག་འཆི་མེད་རྟག་པའི་ཞིང	né chok namdak chimé takpé zhing
གནས་མཆོག་རྣམས་ལ་རྡོ་རྗེའི་བྱིན་ཆེན་ཕབ	né chok nam la dorjé jin chen pap
གནས་མཆོག་ལྕང་ལོ་ཅན་གྱི་ཕོ་བྲང་དུ༔	né chok changlochen gyi podrang du
གནས་མེད་ལེན་མེད་ཆོས་ཆེན་པོ	nemé lenmé chö chenpo
གནས་ཚུལ	gnastsʰul
གནས་ཚུལ	nɛː˥˥tɕyːˑ
གནས་འཁོར་བ་ངན་འགྲོའི་འཇིགས་ལས་སྒྲོལ་ཤིག	né khorwa ngendrö jik lé drol shik
གནས་འཁོར་བའི་གཡང་ས་ལས་སྒྲོལ་ཞིང	né khorwé yang sa lé drol zhing
གནས་འཁོར་ལོ་བཞི་པའི་ཕོ་བྲང་ན	né khorlo zhipé podrang na
གནས་འཇིགས་རུང་འཁོར་བའི་སེམས་ཅན་རྣམས	né jik rung khorwé semchen nam
གནས་འདིའི་ཕྱོགས་སུ་ངལ་བ་བརྟེན་པ་ཀུན	né di chok su ngalwa tenpa kün
གནས་འདིའི་སྒོ་འབྱེད་བཞད་པའི་རྡོ་རྗེ་དང	né di gojé zhepé dorjé dang
གནས་འདིར་ཉི་མོ་བདེ་ལེགས་མཚན་བདེ་ལེགས	né dir nyimo delek tsen delek
གནས་འདིར་ཉིན་མོ་བདེ་ལེགས་མཚན་བདེ་ལེགས	né dir nyinmo delek tsen delek
གནས་འདིར་ཐུགས་རྗེས་དགོངས་ཏེ་གཤེགས་ནས་ཀྱང་༔	né dir tukjé gong té shek né kyang
གནས་འདིར་དད་མོས་འབྲེལ་བས་བསྡུས་པ་ཡི	né dir dé mö drelwé düpa yi
གནས་འདིར་བྱིན་ཕོབ་དངོས་གྲུབ་སྩོལ	né dir jin pob ngödrub tsol
གནས་འདིར་བྱིན་ཕོབ་དབང་དང་དངོས་གྲུབ་སྩོལ༔	né dir jin pob wang dang ngödrub tsol
གནས་འདིར་བྱིན་ཕོབ་དབང་མཆོག་བསྐུར	né dir jin pob wang chok kur
གནས་འདིར་བྱིན་ཕོབ་ཕྲིན་ལས་སྒྲུབས	né dir jin pob trinlé drub
གནས་འདིར་བྱིན་ཕོབ་མཆོག་ཐུན་དངོས་གྲུབ་སྩོལ	né dir jin pob choktün ngödrub tsol
གནས་འདིར་མྱུར་དུ་གཤེགས་སུ་གསོལ༔	né dir nyurdu shek su sol
གནས་འདིར་སྡུས་ལ་གོང་དུ་སྤེལ	né dir dü la gong du pel
གནས་འདིར་སྤྱན་འདྲེན་གཤེགས་སུ་གསོལ	né dir chendren shek su sol
གནས་འདིར་སྤྱན་འདྲེན་ཐོགས་མེད་ད་ཚུར་བྱོན	né dir chendren tokmé datsur jön
གནས་འོག་མིན་བསྒྲོད་པར་བྱིན་གྱིས་རློབས༔	né womin dröpar chin gyi lop
གནས་འོག་མིན་འགྲོད་པར་བྱིན་གྱིས་རློབས༔	né womin dröpar chin gyi lop
གནས་འོག་མིན་འགྲོད་པར་བྱིན་གྱིས་རློབསཿ	né womin dröpar chin gyi lop
གནས་ཡུལ་ཉེན་ཚེ་སྐྱབས་གསོལ་བསྟན་ལ་བཀོད	neyul nyen tsé kyab sol ten la kö
གནས་ཡུལ་དུར་ཁྲོད་བརྒྱད་རྣམས་ན༔	neyul durtrö gyé nam na
གནས་ཡུལ་དུར་ཁྲོད་བརྒྱད་སོགས་ནས	neyul durtrö gyé sok né
གནས་ཡུལ་དུར་ཁྲོད་བརྒྱད་སོགས་ནས༔	neyul durtrö gyé sok né
གནས་ཡུལ་དུར་ཁྲོད་མཁའ་སྤྱོད་ནས༔	neyul durtrö khachö né
གནས་ཡུལ་དུར་ཁྲོད་མཁའ་སྤྱོད་ཡོངས་ཀྱི་བདག	neyul durtrö khachö yong kyi dak
གནས་ཡུལ་དུར་ཁྲོད་སྤྲུལ་པའི་ཞིང་རྣམས་སུ	neyul durtrö trulpé zhing nam su
གནས་ཡུལ་བདེ་ཆེན་འབར་བའི་ཕོ་བྲང་དབུས	né yul dechen barwé podrang ü
གནས་ཡུལ་མ་མོ་དབང་ཕྱུག་སྒོ་སྐྱོང་སོགས	neyul mamo wangchuk go kyong sok
གནས་ཡུལ་མཁའ་འགྲོའི་གྲོགས་དང་ལྷན་ཅིག་ཏུ	neyul khandrö drok dang lhenchik tu
གནས་ཡུལ་ཞིང་སྐྱོང་ཚོགས་བཅས་བསང	neyul zhingkyong tsok ché sang
གནས་ཡུལ་འོག་མིན་བདེ་ཆེན་ཞིང་ཁམས་དབུས	neyul womin dechen zhingkham ü
གནས་ཡུལ་སྣོད་བཅུད་དག་པའི་ཞིང	neyul nöchü dakpé zhing
གནས་རང་སྣང་དོན་གྱི་འོག་མིན་ན༔	né rang nang dön gyi womin na
གནས་རང་སྣང་དོན་གྱི་འོག་མིན་ནཿ	né rang nang dön gyi womin na
གནས་རང་སྣང་འོད་གསལ་འོག་མིན་ལ	né rang nang ösal omin la
གནས་རི་ཁྲོད་འགྲིམ་ཡང་ཁྱིམ་ལ་སྲེད	né ritrö drim yang khyim la sé
གནས་ལུགས་མི་འགྱུར་རྡོ་རྗེ་སྐུ་ལ་ཕྱག་འཚལ་ལོ༔	neluk mingyur dorjé ku la chaktsal lo
གནས་ལུགས་འགྱུར་མེད་དོན་རྟོགས་མེ་ཀོ་པ	neluk gyurmé dön tok mekopa
གནས་ལུགས་རང་ངོ་ཤེས་པའི་ཚོགས་ཆེན་དེ་རྫོགས་ནས	neluk rang ngo shepé tsok chen de dzok né
གནས་ལུགས་རང་ཞལ་མཇལ་བར་བྱིན་གྱིས་རློབས	neluk rang zhal jalwar chin gyi lop
གནས་ལུགས་རང་ཞལ་མཇལ་བར་བྱིན་གྱིས་རློབས	neluk rang zhal jalwar jingyi lob
གནས་ལུགས་རྟོགས་པ་སྐྱེ་བར་བྱིན་གྱིས་རློབས	neluk tokpa kyewar jingyi lob
གནས་ལུགས་རྟོགས་པར་བྱིན་གྱིས་རློབས	neluk tokpar jingyi lob
གནས་ལུགས་རྫོགས་པ་ཆེན་པོའི་ཀློང་དུ་ཨཱཿ	neluk dzogpachenpö long du ah
གནས་ལུགས་རྫོགས་པ་ཆེན་པོའི་པཎ་ཞུ་མཛེས	neluk dzogpachenpö pen zhu dzé
གནས་ལུགས་སྟོན་མཛད་ཐེག་མཆོག་རྫོགས་པ་ཆེའི	neluk töndzé
གནས་ལྔ་མཐར་སོན་མཆོག་གི་དངོས་གྲུབ་བརྙེས	né nga tar sön chok gi ngödrub nyé
གནས་ལྔ་རིག་པ་བྱེ་བའི་ཕུལ་དུ་ཕྱིན	né nga rigpa jewé pul du chin
གནས་ལྔ་རིག་པ་ཡན་ལག་དང་བཅས་པར	né ngarikpa yenlak dang chepar
གནས་ལྔ་རིག་པ་རྒྱ་མཚོའི་ཕ་མཐར་སོན	né nga rigpa gyatsö patar sön
གནས་ལྔ་རིག་པ་ས་སྐྱ་ལོ་ཙཱ་ཞེས	né nga rigpa sakya lotsa zhé
གནས་ལྔ་རིག་པའི་པཎ་ཆེན་ཆོས་རྒྱ་མཚོ	né nga rigpé penchen chö gyatso
གནས་ཤིང་རྒྱུ་བའི་ཡུལ་ལྷ་གཞི་བདག་དང	né shing gyuwé yullha zhidak dang
གནས་སུ་སྐྱེ་འགྱུར་མི་དགེ་སྡིག་པའི་ལས	né su kyé gyur mi gedik pé lé
གནས་སྐབས་ཀུན་ཏུ་མི་མཐུན་བར་ཆད་སེལ	nekab küntu mitün barché sel
གནས་སྐབས་ཀུན་ཏུ་ཚེ་རབས་དྲན་གྱུར་ནས	nekab küntu tserab dren gyur né
གནས་སྐབས་ནད་གདོན་འབྱུང་པོའི་འཚེ་བ་སོགས	nekab nedön jungpö tsewa sok
གནས་སྐབས་ཕྱི་ནང་རིག་གཞུང་རྒྱ་མཚོར་བློ་གྲོས་སྣང་བ་རྒྱས་པ་དང	nekab chinang rik zhung gyatsor lodrö nangwa gyepa dang
གནས་སྐབས་བདེ་སྐྱིད་ཉེས་ཞི་ལེགས་འཕེལ་ནས	nekab dekyi nyé zhi lek pel né
གནས་སྐབས་བཞི་དག་བཅུ་གཉིས་ས་མཆོག་ནོན	nekab zhi dak chunyi sa chok nön
གནས་སྐབས་བརྒྱད་གཉིས་འཇིགས་པ་ཀུན་ཞི་ཞིང	nekab gyé nyi jikpa kün zhi zhing
གནས་སྐབས་བསམ་དོན་ཆོས་བཞིན་འགྲུབ་པ་དང	nekap samdön chö zhin druppa dang
གནས་སྐབས་བླང་དོར་ལྟ་བའི་ཆུ་བུར་མིག	nekab langdor tawé chubur mik
གནས་སྐབས་མངོན་མཐོའི་ལེགས་ཚོགས་ཀུན་རྒྱས་ཤིང	nekab ngön tö lektsok kün gyé shing
གནས་སྐབས་མཐར་ཐུག་ཀུན་ཏུ	nekab tartuk küntu
གནས་སྐབས་མཐར་ཐུག་དངོས་གྲུབ་ཆར་འབེབས་ཤིང	nekab tartuk ngödrub charbeb shing
གནས་སྐབས་མཐར་ཐུག་དངོས་གྲུབ་ཆར་འབེབས་ཤིང་	nekab tartuk ngödrub charbeb shing
གནས་སྐབས་མཐར་ཐུག་དོན་གཉིས་ལྷུན་གྲུབ་ཤོག	nekab tartuk dön nyi lhündrub shok
གནས་སྐབས་མཐར་ཐུག་མི་མཐུན་ཕྱོགས་ཀུན་ཞི	nekab tartuk mitün chok kün zhi
གནས་སྐབས་མཐར་ཐུག་འཇིགས་པ་ཀུན་གྲོལ་ཏེ༔	nekab tartuk jikpa kün drol té
གནས་སྐབས་མཐར་ཐུག་འཇིགས་པ་ཀུན་ལས་སྐྱོབས	nekab tartuk jikpa kün lé kyob
གནས་སྐབས་ཚེ་རིང་ནད་མེད་ཕུན་ཚོགས་ཤོག	nekab tsering nemé püntsok shok
གནས་སྐབས་འཆི་བས་འཇིགས་པ་ལས	nekab chiwé jikpa lé
གནས་སྐབས་འདུ་བ་གསུམ་གྱི་རྟེན་འབྲེལ་འགྲིགས	nekab duwa sum gyi tendrel drik
གནས་སྐབས་འབྱོར་པ་ཀུན་གྱིས་མི་ཕོངས་ཤིང་༔	nekab jorpa kün gyi mi pong shing
གནས་སྐབས་རྫོགས་ལྡན་གསར་པའི་སྒོ་འཕར་ཕྱེས	nekab dzokden sarpé gopar ché
གནས་སྐབས་ལྷ་མིའི་འབྱོར་པས་མངོན་མཐོ་ཞིང	nekab lhami jorpé ngön to zhing
གནས་སྐབས་སུ་ཡང་བསམ་པའི་དོན་ཀུན་འགྲུབ	nekab su yang sampé dön kün drub
གནས་སྐབས་སུའང་ལེགས་བྱས་མཆོག་འདིའི་མཐུས	nekab su ang lek jé chok di tü
གནས་སྤྱི་གཙུག་ཉི་ཟླའི་གདན་སྟེང་ན	né chitsuk nyidé den teng na
གནས་སྲུང་སྡེ་བརྒྱད་མཁའ་འགྲོའི་ཆོ་འཕྲུལ་སོགས	né sung dé gyé khandrö chotrul sok
གནུབ་ཀྱི་རིགས་འཁྲུངས་སངས་རྒྱས་ཡེ་ཤེས་དང	nub kyi rik trung sangye yeshe dang
གནུབས་ཀྱི་རིགས་འཁྲུངས་དགེ་སློང་ཆེན་པོ	nub kyi rik trung gelong chenpo
གནུབས་ཀྱི་རིགས་ལས་པདྨའི་ཐུགས་ཀྱི་སྲས	nub kyi rik lé pemé tuk kyi sé
གནུབས་ཆེན་ནམ་སྙིང་ཡེ་ཤེས་མཚོ་རྒྱལ་མ	nubchen namnying yeshe tsogyalma
གནུབས་ཆེན་སངས་རྒྱས་ཉང་སྟོན་ཉི་མ་འོད	nupchen sangyé nyang tön nyima ö
གནུབས་ཡུལ་རོང་བྱོན་སངས་རྒྱས་ཡེ་ཤེས	nub yul rong jön sangyé yeshé
གནོང་ཞིང་འགྱོད་དོ	nong zhing gyö do
